// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/b9a49c9d-10ca-4d00-ba0b-00ed82a3a187
// command took 1.32s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/b9a49c9d-10ca-4d00-ba0b-00ed82a3a187
// command took 2.07s and exited with 0
// ***** Done, took 00:00:03 (3.49 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.NestedLoop: DefaultJob
//   GetMostActiveVisistors.NestedLoop1: DefaultJob
//   GetMostActiveVisistors.NestedLoop2: DefaultJob
//   GetMostActiveVisistors.DataLoad: DefaultJob

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b9a49c9d-10ca-4d00-ba0b-00ed82a3a187.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "Default" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/b9a49c9d-10ca-4d00-ba0b-00ed82a3a187/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 284471.00 ns, 284.4710 us/op
WorkloadJitting  1: 1 op, 3392033.00 ns, 3.3920 ms/op

OverheadJitting  2: 16 op, 255843.00 ns, 15.9902 us/op
WorkloadJitting  2: 16 op, 352163.00 ns, 22.0102 us/op

WorkloadPilot    1: 16 op, 9333.00 ns, 583.3125 ns/op
WorkloadPilot    2: 32 op, 13872.00 ns, 433.5000 ns/op
WorkloadPilot    3: 64 op, 52155.00 ns, 814.9219 ns/op
WorkloadPilot    4: 128 op, 46956.00 ns, 366.8438 ns/op
WorkloadPilot    5: 256 op, 147458.00 ns, 576.0078 ns/op
WorkloadPilot    6: 512 op, 221662.00 ns, 432.9336 ns/op
WorkloadPilot    7: 1024 op, 434474.00 ns, 424.2910 ns/op
WorkloadPilot    8: 2048 op, 827702.00 ns, 404.1514 ns/op
WorkloadPilot    9: 4096 op, 1642875.00 ns, 401.0925 ns/op
WorkloadPilot   10: 8192 op, 3404591.00 ns, 415.5995 ns/op
WorkloadPilot   11: 16384 op, 6217630.00 ns, 379.4940 ns/op
WorkloadPilot   12: 32768 op, 12320693.00 ns, 375.9977 ns/op
WorkloadPilot   13: 65536 op, 23925581.00 ns, 365.0754 ns/op
WorkloadPilot   14: 131072 op, 48297257.00 ns, 368.4788 ns/op
WorkloadPilot   15: 262144 op, 73885009.00 ns, 281.8489 ns/op
WorkloadPilot   16: 524288 op, 91782770.00 ns, 175.0617 ns/op
WorkloadPilot   17: 1048576 op, 179916451.00 ns, 171.5817 ns/op
WorkloadPilot   18: 2097152 op, 364541091.00 ns, 173.8267 ns/op
WorkloadPilot   19: 4194304 op, 723638524.00 ns, 172.5289 ns/op

OverheadWarmup   1: 4194304 op, 7396964.00 ns, 1.7636 ns/op
OverheadWarmup   2: 4194304 op, 7275078.00 ns, 1.7345 ns/op
OverheadWarmup   3: 4194304 op, 7550146.00 ns, 1.8001 ns/op
OverheadWarmup   4: 4194304 op, 7239660.00 ns, 1.7261 ns/op
OverheadWarmup   5: 4194304 op, 7306231.00 ns, 1.7419 ns/op
OverheadWarmup   6: 4194304 op, 7427220.00 ns, 1.7708 ns/op
OverheadWarmup   7: 4194304 op, 7255945.00 ns, 1.7300 ns/op

OverheadActual   1: 4194304 op, 7575280.00 ns, 1.8061 ns/op
OverheadActual   2: 4194304 op, 7305280.00 ns, 1.7417 ns/op
OverheadActual   3: 4194304 op, 7380987.00 ns, 1.7598 ns/op
OverheadActual   4: 4194304 op, 7489411.00 ns, 1.7856 ns/op
OverheadActual   5: 4194304 op, 7065756.00 ns, 1.6846 ns/op
OverheadActual   6: 4194304 op, 7538279.00 ns, 1.7973 ns/op
OverheadActual   7: 4194304 op, 7354382.00 ns, 1.7534 ns/op
OverheadActual   8: 4194304 op, 7383798.00 ns, 1.7604 ns/op
OverheadActual   9: 4194304 op, 7603386.00 ns, 1.8128 ns/op
OverheadActual  10: 4194304 op, 7441125.00 ns, 1.7741 ns/op
OverheadActual  11: 4194304 op, 7255639.00 ns, 1.7299 ns/op
OverheadActual  12: 4194304 op, 7459261.00 ns, 1.7784 ns/op
OverheadActual  13: 4194304 op, 7211363.00 ns, 1.7193 ns/op
OverheadActual  14: 4194304 op, 7029992.00 ns, 1.6761 ns/op
OverheadActual  15: 4194304 op, 7733969.00 ns, 1.8439 ns/op

WorkloadWarmup   1: 4194304 op, 727577997.00 ns, 173.4681 ns/op
WorkloadWarmup   2: 4194304 op, 724658736.00 ns, 172.7721 ns/op
WorkloadWarmup   3: 4194304 op, 718759613.00 ns, 171.3656 ns/op
WorkloadWarmup   4: 4194304 op, 717443220.00 ns, 171.0518 ns/op
WorkloadWarmup   5: 4194304 op, 726307506.00 ns, 173.1652 ns/op
WorkloadWarmup   6: 4194304 op, 719359763.00 ns, 171.5087 ns/op
WorkloadWarmup   7: 4194304 op, 727408697.00 ns, 173.4277 ns/op
WorkloadWarmup   8: 4194304 op, 714558891.00 ns, 170.3641 ns/op

// BeforeActualRun
WorkloadActual   1: 4194304 op, 699261539.00 ns, 166.7169 ns/op
WorkloadActual   2: 4194304 op, 726454041.00 ns, 173.2001 ns/op
WorkloadActual   3: 4194304 op, 726055811.00 ns, 173.1052 ns/op
WorkloadActual   4: 4194304 op, 711892418.00 ns, 169.7284 ns/op
WorkloadActual   5: 4194304 op, 711342602.00 ns, 169.5973 ns/op
WorkloadActual   6: 4194304 op, 705655425.00 ns, 168.2414 ns/op
WorkloadActual   7: 4194304 op, 702766343.00 ns, 167.5526 ns/op
WorkloadActual   8: 4194304 op, 710293789.00 ns, 169.3472 ns/op
WorkloadActual   9: 4194304 op, 697311167.00 ns, 166.2519 ns/op
WorkloadActual  10: 4194304 op, 695973058.00 ns, 165.9329 ns/op
WorkloadActual  11: 4194304 op, 702512832.00 ns, 167.4921 ns/op
WorkloadActual  12: 4194304 op, 698133787.00 ns, 166.4481 ns/op
WorkloadActual  13: 4194304 op, 699453429.00 ns, 166.7627 ns/op
WorkloadActual  14: 4194304 op, 703904657.00 ns, 167.8239 ns/op
WorkloadActual  15: 4194304 op, 702440828.00 ns, 167.4749 ns/op

// AfterActualRun
WorkloadResult   1: 4194304 op, 691877741.00 ns, 164.9565 ns/op
WorkloadResult   2: 4194304 op, 719070243.00 ns, 171.4397 ns/op
WorkloadResult   3: 4194304 op, 718672013.00 ns, 171.3448 ns/op
WorkloadResult   4: 4194304 op, 704508620.00 ns, 167.9679 ns/op
WorkloadResult   5: 4194304 op, 703958804.00 ns, 167.8369 ns/op
WorkloadResult   6: 4194304 op, 698271627.00 ns, 166.4809 ns/op
WorkloadResult   7: 4194304 op, 695382545.00 ns, 165.7921 ns/op
WorkloadResult   8: 4194304 op, 702909991.00 ns, 167.5868 ns/op
WorkloadResult   9: 4194304 op, 689927369.00 ns, 164.4915 ns/op
WorkloadResult  10: 4194304 op, 688589260.00 ns, 164.1725 ns/op
WorkloadResult  11: 4194304 op, 695129034.00 ns, 165.7317 ns/op
WorkloadResult  12: 4194304 op, 690749989.00 ns, 164.6876 ns/op
WorkloadResult  13: 4194304 op, 692069631.00 ns, 165.0023 ns/op
WorkloadResult  14: 4194304 op, 696520859.00 ns, 166.0635 ns/op
WorkloadResult  15: 4194304 op, 695057030.00 ns, 165.7145 ns/op

// AfterAll
// Benchmark Process 9625 has exited with code 0

Mean = 166.618 ns, StdErr = 0.586 ns (0.35%), N = 15, StdDev = 2.269 ns
Min = 164.172 ns, Q1 = 164.979 ns, Median = 165.792 ns, Q3 = 167.712 ns, Max = 171.440 ns
IQR = 2.732 ns, LowerFence = 160.881 ns, UpperFence = 171.810 ns
ConfidenceInterval = [164.193 ns; 169.043 ns] (CI 99.9%), Margin = 2.425 ns (1.46% of Mean)
Skewness = 1.03, Kurtosis = 2.85, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop1: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b9a49c9d-10ca-4d00-ba0b-00ed82a3a187.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop1" --job "Default" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/b9a49c9d-10ca-4d00-ba0b-00ed82a3a187/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 449850.00 ns, 449.8500 us/op
WorkloadJitting  1: 1 op, 1442831.00 ns, 1.4428 ms/op

OverheadJitting  2: 16 op, 241216.00 ns, 15.0760 us/op
WorkloadJitting  2: 16 op, 295077.00 ns, 18.4423 us/op

WorkloadPilot    1: 16 op, 1665.00 ns, 104.0625 ns/op
WorkloadPilot    2: 32 op, 2270.00 ns, 70.9375 ns/op
WorkloadPilot    3: 64 op, 3045.00 ns, 47.5781 ns/op
WorkloadPilot    4: 128 op, 5571.00 ns, 43.5234 ns/op
WorkloadPilot    5: 256 op, 9395.00 ns, 36.6992 ns/op
WorkloadPilot    6: 512 op, 17152.00 ns, 33.5000 ns/op
WorkloadPilot    7: 1024 op, 31990.00 ns, 31.2402 ns/op
WorkloadPilot    8: 2048 op, 116554.00 ns, 56.9111 ns/op
WorkloadPilot    9: 4096 op, 151439.00 ns, 36.9724 ns/op
WorkloadPilot   10: 8192 op, 273793.00 ns, 33.4220 ns/op
WorkloadPilot   11: 16384 op, 498997.00 ns, 30.4564 ns/op
WorkloadPilot   12: 32768 op, 998798.00 ns, 30.4809 ns/op
WorkloadPilot   13: 65536 op, 1995860.00 ns, 30.4544 ns/op
WorkloadPilot   14: 131072 op, 4376692.00 ns, 33.3915 ns/op
WorkloadPilot   15: 262144 op, 8396451.00 ns, 32.0299 ns/op
WorkloadPilot   16: 524288 op, 17061989.00 ns, 32.5432 ns/op
WorkloadPilot   17: 1048576 op, 32760296.00 ns, 31.2427 ns/op
WorkloadPilot   18: 2097152 op, 66115224.00 ns, 31.5262 ns/op
WorkloadPilot   19: 4194304 op, 113907341.00 ns, 27.1576 ns/op
WorkloadPilot   20: 8388608 op, 214715791.00 ns, 25.5961 ns/op
WorkloadPilot   21: 16777216 op, 430898142.00 ns, 25.6835 ns/op
WorkloadPilot   22: 33554432 op, 869178298.00 ns, 25.9035 ns/op

OverheadWarmup   1: 33554432 op, 59432981.00 ns, 1.7712 ns/op
OverheadWarmup   2: 33554432 op, 57361359.00 ns, 1.7095 ns/op
OverheadWarmup   3: 33554432 op, 57245964.00 ns, 1.7061 ns/op
OverheadWarmup   4: 33554432 op, 57277249.00 ns, 1.7070 ns/op
OverheadWarmup   5: 33554432 op, 56904212.00 ns, 1.6959 ns/op
OverheadWarmup   6: 33554432 op, 57105200.00 ns, 1.7019 ns/op
