// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/0d3ab014-e7c9-47a3-b9cd-bed2a17cf285
// command took 1.27s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/0d3ab014-e7c9-47a3-b9cd-bed2a17cf285
// command took 2s and exited with 0
// ***** Done, took 00:00:03 (3.37 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.NestedLoop: Job-ILEKFO(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop1: Job-ILEKFO(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop2: Job-ILEKFO(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-ILEKFO(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-ILEKFO(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "0d3ab014-e7c9-47a3-b9cd-bed2a17cf285.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/0d3ab014-e7c9-47a3-b9cd-bed2a17cf285/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-GACDOD(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 261274.00 ns, 261.2740 us/op
WorkloadJitting  1: 1 op, 3319856.00 ns, 3.3199 ms/op

OverheadJitting  2: 16 op, 339992.00 ns, 21.2495 us/op
WorkloadJitting  2: 16 op, 366298.00 ns, 22.8936 us/op

WorkloadPilot    1: 16 op, 23940.00 ns, 1.4963 us/op
WorkloadPilot    2: 32 op, 30568.00 ns, 955.2500 ns/op
WorkloadPilot    3: 64 op, 44162.00 ns, 690.0312 ns/op
WorkloadPilot    4: 128 op, 81032.00 ns, 633.0625 ns/op
WorkloadPilot    5: 256 op, 91472.00 ns, 357.3125 ns/op
WorkloadPilot    6: 512 op, 200239.00 ns, 391.0918 ns/op
WorkloadPilot    7: 1024 op, 461127.00 ns, 450.3193 ns/op
WorkloadPilot    8: 2048 op, 914233.00 ns, 446.4028 ns/op
WorkloadPilot    9: 4096 op, 1855666.00 ns, 453.0435 ns/op
WorkloadPilot   10: 8192 op, 3331960.00 ns, 406.7334 ns/op
WorkloadPilot   11: 16384 op, 5958335.00 ns, 363.6679 ns/op
WorkloadPilot   12: 32768 op, 12007744.00 ns, 366.4473 ns/op
WorkloadPilot   13: 65536 op, 23484287.00 ns, 358.3418 ns/op
WorkloadPilot   14: 131072 op, 46786153.00 ns, 356.9500 ns/op
WorkloadPilot   15: 262144 op, 75507819.00 ns, 288.0395 ns/op
WorkloadPilot   16: 524288 op, 91479463.00 ns, 174.4832 ns/op
WorkloadPilot   17: 1048576 op, 176770193.00 ns, 168.5812 ns/op
WorkloadPilot   18: 2097152 op, 356219637.00 ns, 169.8588 ns/op
WorkloadPilot   19: 4194304 op, 716102456.00 ns, 170.7321 ns/op

OverheadWarmup   1: 4194304 op, 7067220.00 ns, 1.6850 ns/op
OverheadWarmup   2: 4194304 op, 7160621.00 ns, 1.7072 ns/op
OverheadWarmup   3: 4194304 op, 7424233.00 ns, 1.7701 ns/op
OverheadWarmup   4: 4194304 op, 7223481.00 ns, 1.7222 ns/op
OverheadWarmup   5: 4194304 op, 7808819.00 ns, 1.8618 ns/op
OverheadWarmup   6: 4194304 op, 7206022.00 ns, 1.7180 ns/op

