// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/cedc6b98-4458-4ea7-914f-fc4a9b4f8cba
// command took 1.34s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/cedc6b98-4458-4ea7-914f-fc4a9b4f8cba
// command took 2.06s and exited with 0
// ***** Done, took 00:00:03 (3.5 sec)   *****
// Found 3 benchmarks:
//   GetMostActiveVisistors.NestedLoop: Job-CXYBUG(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop1: Job-CXYBUG(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop2: Job-CXYBUG(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-CXYBUG(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "cedc6b98-4458-4ea7-914f-fc4a9b4f8cba.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/cedc6b98-4458-4ea7-914f-fc4a9b4f8cba/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-UEWWZL(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 293277.00 ns, 293.2770 us/op
WorkloadJitting  1: 1 op, 3066577.00 ns, 3.0666 ms/op

OverheadJitting  2: 16 op, 342479.00 ns, 21.4049 us/op
WorkloadJitting  2: 16 op, 476475.00 ns, 29.7797 us/op

WorkloadPilot    1: 16 op, 13646.00 ns, 852.8750 ns/op
WorkloadPilot    2: 32 op, 19712.00 ns, 616.0000 ns/op
WorkloadPilot    3: 64 op, 36972.00 ns, 577.6875 ns/op
WorkloadPilot    4: 128 op, 53644.00 ns, 419.0938 ns/op
WorkloadPilot    5: 256 op, 113716.00 ns, 444.2031 ns/op
WorkloadPilot    6: 512 op, 195857.00 ns, 382.5332 ns/op
WorkloadPilot    7: 1024 op, 452391.00 ns, 441.7881 ns/op
WorkloadPilot    8: 2048 op, 882417.00 ns, 430.8677 ns/op
WorkloadPilot    9: 4096 op, 1765443.00 ns, 431.0164 ns/op
WorkloadPilot   10: 8192 op, 3534764.00 ns, 431.4897 ns/op
WorkloadPilot   11: 16384 op, 6375562.00 ns, 389.1334 ns/op
WorkloadPilot   12: 32768 op, 12996395.00 ns, 396.6185 ns/op
WorkloadPilot   13: 65536 op, 24191733.00 ns, 369.1366 ns/op
WorkloadPilot   14: 131072 op, 48473362.00 ns, 369.8224 ns/op
WorkloadPilot   15: 262144 op, 72154641.00 ns, 275.2481 ns/op
WorkloadPilot   16: 524288 op, 91789788.00 ns, 175.0751 ns/op
WorkloadPilot   17: 1048576 op, 187038981.00 ns, 178.3743 ns/op
WorkloadPilot   18: 2097152 op, 363048856.00 ns, 173.1152 ns/op
WorkloadPilot   19: 4194304 op, 738735480.00 ns, 176.1283 ns/op

OverheadWarmup   1: 4194304 op, 8175115.00 ns, 1.9491 ns/op
OverheadWarmup   2: 4194304 op, 7615463.00 ns, 1.8157 ns/op
OverheadWarmup   3: 4194304 op, 7716480.00 ns, 1.8398 ns/op
OverheadWarmup   4: 4194304 op, 7348283.00 ns, 1.7520 ns/op
OverheadWarmup   5: 4194304 op, 7749901.00 ns, 1.8477 ns/op
OverheadWarmup   6: 4194304 op, 7421511.00 ns, 1.7694 ns/op

OverheadActual   1: 4194304 op, 7973910.00 ns, 1.9011 ns/op
OverheadActual   2: 4194304 op, 7371848.00 ns, 1.7576 ns/op
OverheadActual   3: 4194304 op, 7876615.00 ns, 1.8779 ns/op
OverheadActual   4: 4194304 op, 7236805.00 ns, 1.7254 ns/op
OverheadActual   5: 4194304 op, 7381601.00 ns, 1.7599 ns/op
OverheadActual   6: 4194304 op, 7790278.00 ns, 1.8573 ns/op
OverheadActual   7: 4194304 op, 8235770.00 ns, 1.9636 ns/op
OverheadActual   8: 4194304 op, 7314908.00 ns, 1.7440 ns/op
OverheadActual   9: 4194304 op, 7729708.00 ns, 1.8429 ns/op
OverheadActual  10: 4194304 op, 7251565.00 ns, 1.7289 ns/op
OverheadActual  11: 4194304 op, 7778728.00 ns, 1.8546 ns/op
OverheadActual  12: 4194304 op, 7640185.00 ns, 1.8216 ns/op
OverheadActual  13: 4194304 op, 7895639.00 ns, 1.8825 ns/op
OverheadActual  14: 4194304 op, 7342205.00 ns, 1.7505 ns/op
OverheadActual  15: 4194304 op, 7539711.00 ns, 1.7976 ns/op

WorkloadWarmup   1: 4194304 op, 734729425.00 ns, 175.1731 ns/op

// BeforeActualRun
WorkloadActual   1: 4194304 op, 733321587.00 ns, 174.8375 ns/op
