// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a7382ace-c8ea-441e-acbe-d51b1bd1f23d
// command took 1.37s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a7382ace-c8ea-441e-acbe-d51b1bd1f23d
// command took 2.29s and exited with 0
// ***** Done, took 00:00:03 (3.78 sec)   *****
// Found 3 benchmarks:
//   GetMostActiveVisistors.NestedLoop: Job-APAOWX(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop1: Job-APAOWX(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop2: Job-APAOWX(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-APAOWX(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a7382ace-c8ea-441e-acbe-d51b1bd1f23d.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a7382ace-c8ea-441e-acbe-d51b1bd1f23d/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-UOCGDW(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 351831.00 ns, 351.8310 us/op
WorkloadJitting  1: 1 op, 3663924.00 ns, 3.6639 ms/op

OverheadJitting  2: 16 op, 327245.00 ns, 20.4528 us/op
WorkloadJitting  2: 16 op, 452203.00 ns, 28.2627 us/op

WorkloadPilot    1: 16 op, 14203.00 ns, 887.6875 ns/op
WorkloadPilot    2: 32 op, 23316.00 ns, 728.6250 ns/op
WorkloadPilot    3: 64 op, 35152.00 ns, 549.2500 ns/op
WorkloadPilot    4: 128 op, 60611.00 ns, 473.5234 ns/op
WorkloadPilot    5: 256 op, 112714.00 ns, 440.2891 ns/op
WorkloadPilot    6: 512 op, 216736.00 ns, 423.3125 ns/op
WorkloadPilot    7: 1024 op, 498850.00 ns, 487.1582 ns/op
WorkloadPilot    8: 2048 op, 987722.00 ns, 482.2861 ns/op
WorkloadPilot    9: 4096 op, 2269448.00 ns, 554.0645 ns/op
WorkloadPilot   10: 8192 op, 4044870.00 ns, 493.7585 ns/op
WorkloadPilot   11: 16384 op, 7719677.00 ns, 471.1717 ns/op
WorkloadPilot   12: 32768 op, 13705591.00 ns, 418.2614 ns/op
WorkloadPilot   13: 65536 op, 25279875.00 ns, 385.7403 ns/op
WorkloadPilot   14: 131072 op, 48833815.00 ns, 372.5724 ns/op
WorkloadPilot   15: 262144 op, 61403196.00 ns, 234.2346 ns/op
WorkloadPilot   16: 524288 op, 93901306.00 ns, 179.1025 ns/op
WorkloadPilot   17: 1048576 op, 187765991.00 ns, 179.0676 ns/op
WorkloadPilot   18: 2097152 op, 378717682.00 ns, 180.5867 ns/op
WorkloadPilot   19: 4194304 op, 795872192.00 ns, 189.7507 ns/op

OverheadWarmup   1: 4194304 op, 7656242.00 ns, 1.8254 ns/op
OverheadWarmup   2: 4194304 op, 7738030.00 ns, 1.8449 ns/op
OverheadWarmup   3: 4194304 op, 7503559.00 ns, 1.7890 ns/op
OverheadWarmup   4: 4194304 op, 7757053.00 ns, 1.8494 ns/op
OverheadWarmup   5: 4194304 op, 7850650.00 ns, 1.8717 ns/op
