// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/52a06602-61c3-40df-875a-3895fbc6859f
// command took 1.28s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/52a06602-61c3-40df-875a-3895fbc6859f
// command took 2.14s and exited with 0
// ***** Done, took 00:00:03 (3.51 sec)   *****
// Found 3 benchmarks:
//   GetMostActiveVisistors.NestedLoop: Job-LBEVWQ(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop1: Job-LBEVWQ(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop2: Job-LBEVWQ(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-LBEVWQ(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "52a06602-61c3-40df-875a-3895fbc6859f.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/52a06602-61c3-40df-875a-3895fbc6859f/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-WKRLOJ(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 338312.00 ns, 338.3120 us/op
WorkloadJitting  1: 1 op, 3212032.00 ns, 3.2120 ms/op

OverheadJitting  2: 16 op, 333307.00 ns, 20.8317 us/op
WorkloadJitting  2: 16 op, 384375.00 ns, 24.0234 us/op

WorkloadPilot    1: 16 op, 11621.00 ns, 726.3125 ns/op
WorkloadPilot    2: 32 op, 30255.00 ns, 945.4688 ns/op
WorkloadPilot    3: 64 op, 43513.00 ns, 679.8906 ns/op
WorkloadPilot    4: 128 op, 52568.00 ns, 410.6875 ns/op
WorkloadPilot    5: 256 op, 98358.00 ns, 384.2109 ns/op
WorkloadPilot    6: 512 op, 194877.00 ns, 380.6191 ns/op
WorkloadPilot    7: 1024 op, 445287.00 ns, 434.8506 ns/op
WorkloadPilot    8: 2048 op, 883194.00 ns, 431.2471 ns/op
WorkloadPilot    9: 4096 op, 1802828.00 ns, 440.1436 ns/op
WorkloadPilot   10: 8192 op, 3470729.00 ns, 423.6730 ns/op
WorkloadPilot   11: 16384 op, 6560347.00 ns, 400.4118 ns/op
WorkloadPilot   12: 32768 op, 12157361.00 ns, 371.0132 ns/op
WorkloadPilot   13: 65536 op, 24251394.00 ns, 370.0469 ns/op
WorkloadPilot   14: 131072 op, 47837437.00 ns, 364.9707 ns/op
WorkloadPilot   15: 262144 op, 71659027.00 ns, 273.3575 ns/op
WorkloadPilot   16: 524288 op, 93713687.00 ns, 178.7447 ns/op
WorkloadPilot   17: 1048576 op, 185952942.00 ns, 177.3385 ns/op
WorkloadPilot   18: 2097152 op, 385440235.00 ns, 183.7922 ns/op
WorkloadPilot   19: 4194304 op, 747820670.00 ns, 178.2943 ns/op

OverheadWarmup   1: 4194304 op, 7339340.00 ns, 1.7498 ns/op
OverheadWarmup   2: 4194304 op, 7395932.00 ns, 1.7633 ns/op
OverheadWarmup   3: 4194304 op, 8187310.00 ns, 1.9520 ns/op
OverheadWarmup   4: 4194304 op, 7447285.00 ns, 1.7756 ns/op
