// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/140aced2-7966-45e2-a793-96b1494533ca
// command took 1.61s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/140aced2-7966-45e2-a793-96b1494533ca
// command took 2.32s and exited with 0
// ***** Done, took 00:00:04 (4.04 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-UUSCFW(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-UUSCFW(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop1: Job-UUSCFW(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-UUSCFW(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-UUSCFW(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "140aced2-7966-45e2-a793-96b1494533ca.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/140aced2-7966-45e2-a793-96b1494533ca/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-FTLUPH(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 321520.00 ns, 321.5200 us/op
WorkloadJitting  1: 1 op, 4881001.00 ns, 4.8810 ms/op

OverheadJitting  2: 16 op, 391767.00 ns, 24.4854 us/op
WorkloadJitting  2: 16 op, 413868.00 ns, 25.8667 us/op

WorkloadPilot    1: 16 op, 46001.00 ns, 2.8751 us/op
WorkloadPilot    2: 32 op, 77705.00 ns, 2.4283 us/op
WorkloadPilot    3: 64 op, 160928.00 ns, 2.5145 us/op
WorkloadPilot    4: 128 op, 264673.00 ns, 2.0678 us/op
WorkloadPilot    5: 256 op, 377727.00 ns, 1.4755 us/op
WorkloadPilot    6: 512 op, 843975.00 ns, 1.6484 us/op
WorkloadPilot    7: 1024 op, 1641431.00 ns, 1.6030 us/op
WorkloadPilot    8: 2048 op, 3531165.00 ns, 1.7242 us/op
WorkloadPilot    9: 4096 op, 6937931.00 ns, 1.6938 us/op
WorkloadPilot   10: 8192 op, 12152655.00 ns, 1.4835 us/op
WorkloadPilot   11: 16384 op, 25377603.00 ns, 1.5489 us/op
WorkloadPilot   12: 32768 op, 48508303.00 ns, 1.4804 us/op
WorkloadPilot   13: 65536 op, 84878461.00 ns, 1.2951 us/op
WorkloadPilot   14: 131072 op, 129628830.00 ns, 988.9895 ns/op
WorkloadPilot   15: 262144 op, 253851851.00 ns, 968.3680 ns/op
WorkloadPilot   16: 524288 op, 562318369.00 ns, 1.0725 us/op

OverheadWarmup   1: 524288 op, 1166627.00 ns, 2.2252 ns/op
OverheadWarmup   2: 524288 op, 1330152.00 ns, 2.5371 ns/op
OverheadWarmup   3: 524288 op, 6425896.00 ns, 12.2564 ns/op
OverheadWarmup   4: 524288 op, 1188251.00 ns, 2.2664 ns/op
OverheadWarmup   5: 524288 op, 1599035.00 ns, 3.0499 ns/op
OverheadWarmup   6: 524288 op, 1179659.00 ns, 2.2500 ns/op

OverheadActual   1: 524288 op, 1136247.00 ns, 2.1672 ns/op
OverheadActual   2: 524288 op, 1145998.00 ns, 2.1858 ns/op
OverheadActual   3: 524288 op, 1157335.00 ns, 2.2074 ns/op
OverheadActual   4: 524288 op, 1128312.00 ns, 2.1521 ns/op
OverheadActual   5: 524288 op, 1126460.00 ns, 2.1486 ns/op
OverheadActual   6: 524288 op, 1145385.00 ns, 2.1846 ns/op
OverheadActual   7: 524288 op, 1143356.00 ns, 2.1808 ns/op
OverheadActual   8: 524288 op, 1134036.00 ns, 2.1630 ns/op
OverheadActual   9: 524288 op, 1098012.00 ns, 2.0943 ns/op
