// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/9e9ddd85-7134-467b-8871-1020df4c54b8
// command took 1.38s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/9e9ddd85-7134-467b-8871-1020df4c54b8
// command took 2.26s and exited with 0
// ***** Done, took 00:00:03 (3.75 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-CFDYGJ(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-CFDYGJ(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop1: Job-CFDYGJ(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-CFDYGJ(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-CFDYGJ(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "9e9ddd85-7134-467b-8871-1020df4c54b8.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/9e9ddd85-7134-467b-8871-1020df4c54b8/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-SCKDZF(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 286806.00 ns, 286.8060 us/op
WorkloadJitting  1: 1 op, 4370200.00 ns, 4.3702 ms/op

OverheadJitting  2: 16 op, 347924.00 ns, 21.7452 us/op
WorkloadJitting  2: 16 op, 402917.00 ns, 25.1823 us/op

WorkloadPilot    1: 16 op, 37235.00 ns, 2.3272 us/op
WorkloadPilot    2: 32 op, 62820.00 ns, 1.9631 us/op
WorkloadPilot    3: 64 op, 108916.00 ns, 1.7018 us/op
WorkloadPilot    4: 128 op, 219879.00 ns, 1.7178 us/op
WorkloadPilot    5: 256 op, 422475.00 ns, 1.6503 us/op
WorkloadPilot    6: 512 op, 842159.00 ns, 1.6448 us/op
WorkloadPilot    7: 1024 op, 1635619.00 ns, 1.5973 us/op
WorkloadPilot    8: 2048 op, 3737206.00 ns, 1.8248 us/op
WorkloadPilot    9: 4096 op, 7255316.00 ns, 1.7713 us/op
WorkloadPilot   10: 8192 op, 13433553.00 ns, 1.6398 us/op
WorkloadPilot   11: 16384 op, 25142702.00 ns, 1.5346 us/op
WorkloadPilot   12: 32768 op, 51800738.00 ns, 1.5808 us/op
WorkloadPilot   13: 65536 op, 77347738.00 ns, 1.1802 us/op
WorkloadPilot   14: 131072 op, 132570290.00 ns, 1.0114 us/op
WorkloadPilot   15: 262144 op, 286881670.00 ns, 1.0944 us/op
WorkloadPilot   16: 524288 op, 514725092.00 ns, 981.7602 ns/op

OverheadWarmup   1: 524288 op, 1304263.00 ns, 2.4877 ns/op
OverheadWarmup   2: 524288 op, 894508.00 ns, 1.7061 ns/op
OverheadWarmup   3: 524288 op, 884122.00 ns, 1.6863 ns/op
OverheadWarmup   4: 524288 op, 1038250.00 ns, 1.9803 ns/op
OverheadWarmup   5: 524288 op, 1060161.00 ns, 2.0221 ns/op
OverheadWarmup   6: 524288 op, 1082125.00 ns, 2.0640 ns/op
OverheadWarmup   7: 524288 op, 1046102.00 ns, 1.9953 ns/op
OverheadWarmup   8: 524288 op, 1011930.00 ns, 1.9301 ns/op
OverheadWarmup   9: 524288 op, 980855.00 ns, 1.8708 ns/op
OverheadWarmup  10: 524288 op, 981294.00 ns, 1.8717 ns/op

OverheadActual   1: 524288 op, 980172.00 ns, 1.8695 ns/op
OverheadActual   2: 524288 op, 1063345.00 ns, 2.0282 ns/op
OverheadActual   3: 524288 op, 1047224.00 ns, 1.9974 ns/op
OverheadActual   4: 524288 op, 1011722.00 ns, 1.9297 ns/op
OverheadActual   5: 524288 op, 1018667.00 ns, 1.9430 ns/op
OverheadActual   6: 524288 op, 1012680.00 ns, 1.9315 ns/op
OverheadActual   7: 524288 op, 1001914.00 ns, 1.9110 ns/op
OverheadActual   8: 524288 op, 945429.00 ns, 1.8033 ns/op
OverheadActual   9: 524288 op, 944458.00 ns, 1.8014 ns/op
OverheadActual  10: 524288 op, 998561.00 ns, 1.9046 ns/op
OverheadActual  11: 524288 op, 923000.00 ns, 1.7605 ns/op
OverheadActual  12: 524288 op, 922365.00 ns, 1.7593 ns/op
