// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c134fd1a-83a1-4824-8afd-d7e7c2f768f3
// command took 1.4s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c134fd1a-83a1-4824-8afd-d7e7c2f768f3
// command took 2.29s and exited with 0
// ***** Done, took 00:00:03 (3.79 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c134fd1a-83a1-4824-8afd-d7e7c2f768f3.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c134fd1a-83a1-4824-8afd-d7e7c2f768f3/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-ZHGJUO(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 313054.00 ns, 313.0540 us/op
WorkloadJitting  1: 1 op, 5036131.00 ns, 5.0361 ms/op

OverheadJitting  2: 16 op, 283484.00 ns, 17.7177 us/op
WorkloadJitting  2: 16 op, 504728.00 ns, 31.5455 us/op

WorkloadPilot    1: 16 op, 193700.00 ns, 12.1062 us/op
WorkloadPilot    2: 32 op, 333133.00 ns, 10.4104 us/op
WorkloadPilot    3: 64 op, 662040.00 ns, 10.3444 us/op
WorkloadPilot    4: 128 op, 1340877.00 ns, 10.4756 us/op
WorkloadPilot    5: 256 op, 2728056.00 ns, 10.6565 us/op
WorkloadPilot    6: 512 op, 5837906.00 ns, 11.4022 us/op
WorkloadPilot    7: 1024 op, 10578240.00 ns, 10.3303 us/op
WorkloadPilot    8: 2048 op, 20878455.00 ns, 10.1946 us/op
WorkloadPilot    9: 4096 op, 40914814.00 ns, 9.9890 us/op
WorkloadPilot   10: 8192 op, 65476997.00 ns, 7.9928 us/op
WorkloadPilot   11: 16384 op, 126264417.00 ns, 7.7066 us/op
WorkloadPilot   12: 32768 op, 250622487.00 ns, 7.6484 us/op
WorkloadPilot   13: 65536 op, 512862841.00 ns, 7.8257 us/op

OverheadWarmup   1: 65536 op, 191372.00 ns, 2.9201 ns/op
OverheadWarmup   2: 65536 op, 136533.00 ns, 2.0833 ns/op
OverheadWarmup   3: 65536 op, 217866.00 ns, 3.3244 ns/op
OverheadWarmup   4: 65536 op, 128484.00 ns, 1.9605 ns/op
OverheadWarmup   5: 65536 op, 157428.00 ns, 2.4022 ns/op
OverheadWarmup   6: 65536 op, 115707.00 ns, 1.7655 ns/op

OverheadActual   1: 65536 op, 117006.00 ns, 1.7854 ns/op
OverheadActual   2: 65536 op, 115655.00 ns, 1.7648 ns/op
OverheadActual   3: 65536 op, 121479.00 ns, 1.8536 ns/op
OverheadActual   4: 65536 op, 137750.00 ns, 2.1019 ns/op
OverheadActual   5: 65536 op, 137774.00 ns, 2.1023 ns/op
OverheadActual   6: 65536 op, 136132.00 ns, 2.0772 ns/op
OverheadActual   7: 65536 op, 131604.00 ns, 2.0081 ns/op
