// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a3f7bbf1-f9c9-4469-b485-fd8a9809b98a
// command took 1.48s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a3f7bbf1-f9c9-4469-b485-fd8a9809b98a
// command took 2.28s and exited with 0
// ***** Done, took 00:00:03 (3.89 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-HIJECE(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-HIJECE(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-HIJECE(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-HIJECE(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-HIJECE(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a3f7bbf1-f9c9-4469-b485-fd8a9809b98a.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a3f7bbf1-f9c9-4469-b485-fd8a9809b98a/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-RHNSWK(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 282616.00 ns, 282.6160 us/op
WorkloadJitting  1: 1 op, 4990865.00 ns, 4.9909 ms/op

OverheadJitting  2: 16 op, 308777.00 ns, 19.2986 us/op
WorkloadJitting  2: 16 op, 2198296.00 ns, 137.3935 us/op

WorkloadPilot    1: 16 op, 1806182.00 ns, 112.8864 us/op
WorkloadPilot    2: 32 op, 3986316.00 ns, 124.5724 us/op
WorkloadPilot    3: 64 op, 8323453.00 ns, 130.0540 us/op
WorkloadPilot    4: 128 op, 14512598.00 ns, 113.3797 us/op
WorkloadPilot    5: 256 op, 29078844.00 ns, 113.5892 us/op
WorkloadPilot    6: 512 op, 58800847.00 ns, 114.8454 us/op
WorkloadPilot    7: 1024 op, 89977533.00 ns, 87.8687 us/op
WorkloadPilot    8: 2048 op, 175088393.00 ns, 85.4924 us/op
WorkloadPilot    9: 4096 op, 360470151.00 ns, 88.0054 us/op
WorkloadPilot   10: 8192 op, 689759343.00 ns, 84.1991 us/op

OverheadWarmup   1: 8192 op, 36091.00 ns, 4.4056 ns/op
OverheadWarmup   2: 8192 op, 29962.00 ns, 3.6575 ns/op
OverheadWarmup   3: 8192 op, 31720.00 ns, 3.8721 ns/op
OverheadWarmup   4: 8192 op, 34126.00 ns, 4.1658 ns/op
OverheadWarmup   5: 8192 op, 14460.00 ns, 1.7651 ns/op
OverheadWarmup   6: 8192 op, 28877.00 ns, 3.5250 ns/op
OverheadWarmup   7: 8192 op, 33065.00 ns, 4.0363 ns/op
OverheadWarmup   8: 8192 op, 14944.00 ns, 1.8242 ns/op

OverheadActual   1: 8192 op, 14986.00 ns, 1.8293 ns/op
OverheadActual   2: 8192 op, 15311.00 ns, 1.8690 ns/op
OverheadActual   3: 8192 op, 16019.00 ns, 1.9554 ns/op
OverheadActual   4: 8192 op, 15990.00 ns, 1.9519 ns/op
OverheadActual   5: 8192 op, 15543.00 ns, 1.8973 ns/op
OverheadActual   6: 8192 op, 15517.00 ns, 1.8942 ns/op
OverheadActual   7: 8192 op, 15951.00 ns, 1.9471 ns/op
OverheadActual   8: 8192 op, 17422.00 ns, 2.1267 ns/op
OverheadActual   9: 8192 op, 17081.00 ns, 2.0851 ns/op
OverheadActual  10: 8192 op, 16400.00 ns, 2.0020 ns/op
OverheadActual  11: 8192 op, 16921.00 ns, 2.0656 ns/op
OverheadActual  12: 8192 op, 16250.00 ns, 1.9836 ns/op
OverheadActual  13: 8192 op, 16434.00 ns, 2.0061 ns/op
OverheadActual  14: 8192 op, 15899.00 ns, 1.9408 ns/op
OverheadActual  15: 8192 op, 15904.00 ns, 1.9414 ns/op

WorkloadWarmup   1: 8192 op, 699510727.00 ns, 85.3895 us/op

// BeforeActualRun
WorkloadActual   1: 8192 op, 705730663.00 ns, 86.1488 us/op
WorkloadActual   2: 8192 op, 712576599.00 ns, 86.9844 us/op
WorkloadActual   3: 8192 op, 705523084.00 ns, 86.1234 us/op

// AfterActualRun
WorkloadResult   1: 8192 op, 705714673.00 ns, 86.1468 us/op
WorkloadResult   2: 8192 op, 712560609.00 ns, 86.9825 us/op
WorkloadResult   3: 8192 op, 705507094.00 ns, 86.1215 us/op

// AfterAll
// Benchmark Process 164667 has exited with code 0

Mean = 86.417 μs, StdErr = 0.283 μs (0.33%), N = 3, StdDev = 0.490 μs
Min = 86.121 μs, Q1 = 86.134 μs, Median = 86.147 μs, Q3 = 86.565 μs, Max = 86.982 μs
IQR = 0.431 μs, LowerFence = 85.488 μs, UpperFence = 87.210 μs
ConfidenceInterval = [77.478 μs; 95.356 μs] (CI 99.9%), Margin = 8.939 μs (10.34% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-HIJECE(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a3f7bbf1-f9c9-4469-b485-fd8a9809b98a.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a3f7bbf1-f9c9-4469-b485-fd8a9809b98a/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-ZZQQAP(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 314455.00 ns, 314.4550 us/op
WorkloadJitting  1: 1 op, 1974041.00 ns, 1.9740 ms/op

OverheadJitting  2: 16 op, 435790.00 ns, 27.2369 us/op
WorkloadJitting  2: 16 op, 3891910.00 ns, 243.2444 us/op

WorkloadPilot    1: 16 op, 3142166.00 ns, 196.3854 us/op
WorkloadPilot    2: 32 op, 6616201.00 ns, 206.7563 us/op
WorkloadPilot    3: 64 op, 12903535.00 ns, 201.6177 us/op
WorkloadPilot    4: 128 op, 26035970.00 ns, 203.4060 us/op
WorkloadPilot    5: 256 op, 49570709.00 ns, 193.6356 us/op
WorkloadPilot    6: 512 op, 52699215.00 ns, 102.9282 us/op
WorkloadPilot    7: 1024 op, 79910568.00 ns, 78.0377 us/op
WorkloadPilot    8: 2048 op, 158165052.00 ns, 77.2290 us/op
WorkloadPilot    9: 4096 op, 325429741.00 ns, 79.4506 us/op
WorkloadPilot   10: 8192 op, 617792321.00 ns, 75.4141 us/op

OverheadWarmup   1: 8192 op, 21713.00 ns, 2.6505 ns/op
OverheadWarmup   2: 8192 op, 14073.00 ns, 1.7179 ns/op
OverheadWarmup   3: 8192 op, 28597.00 ns, 3.4908 ns/op
OverheadWarmup   4: 8192 op, 15200.00 ns, 1.8555 ns/op
OverheadWarmup   5: 8192 op, 15491.00 ns, 1.8910 ns/op
OverheadWarmup   6: 8192 op, 15492.00 ns, 1.8911 ns/op
OverheadWarmup   7: 8192 op, 15559.00 ns, 1.8993 ns/op
OverheadWarmup   8: 8192 op, 15574.00 ns, 1.9011 ns/op
OverheadWarmup   9: 8192 op, 15704.00 ns, 1.9170 ns/op
