// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/ecb8af22-e82d-4441-8ec3-f47d89a53676
// command took 1.41s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/ecb8af22-e82d-4441-8ec3-f47d89a53676
// command took 2.26s and exited with 0
// ***** Done, took 00:00:03 (3.77 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-CVRASK(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-CVRASK(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-CVRASK(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-CVRASK(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-CVRASK(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ecb8af22-e82d-4441-8ec3-f47d89a53676.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/ecb8af22-e82d-4441-8ec3-f47d89a53676/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-RWGTNV(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 300314.00 ns, 300.3140 us/op
WorkloadJitting  1: 1 op, 5245700.00 ns, 5.2457 ms/op

OverheadJitting  2: 16 op, 274669.00 ns, 17.1668 us/op
WorkloadJitting  2: 16 op, 8890549.00 ns, 555.6593 us/op

WorkloadPilot    1: 16 op, 7943235.00 ns, 496.4522 us/op
WorkloadPilot    2: 32 op, 17079726.00 ns, 533.7414 us/op
WorkloadPilot    3: 64 op, 34578395.00 ns, 540.2874 us/op
WorkloadPilot    4: 128 op, 87981842.00 ns, 687.3581 us/op
WorkloadPilot    5: 256 op, 111241223.00 ns, 434.5360 us/op
WorkloadPilot    6: 512 op, 193718574.00 ns, 378.3566 us/op
WorkloadPilot    7: 1024 op, 388229354.00 ns, 379.1302 us/op
WorkloadPilot    8: 2048 op, 792364874.00 ns, 386.8969 us/op

OverheadWarmup   1: 2048 op, 26005.00 ns, 12.6978 ns/op
OverheadWarmup   2: 2048 op, 4229.00 ns, 2.0649 ns/op
OverheadWarmup   3: 2048 op, 20489.00 ns, 10.0044 ns/op
OverheadWarmup   4: 2048 op, 4500.00 ns, 2.1973 ns/op
OverheadWarmup   5: 2048 op, 4101.00 ns, 2.0024 ns/op
OverheadWarmup   6: 2048 op, 4007.00 ns, 1.9565 ns/op
OverheadWarmup   7: 2048 op, 4062.00 ns, 1.9834 ns/op
OverheadWarmup   8: 2048 op, 4242.00 ns, 2.0713 ns/op
OverheadWarmup   9: 2048 op, 4298.00 ns, 2.0986 ns/op
OverheadWarmup  10: 2048 op, 4198.00 ns, 2.0498 ns/op

OverheadActual   1: 2048 op, 4525.00 ns, 2.2095 ns/op
OverheadActual   2: 2048 op, 4717.00 ns, 2.3032 ns/op
OverheadActual   3: 2048 op, 4835.00 ns, 2.3608 ns/op
OverheadActual   4: 2048 op, 4647.00 ns, 2.2690 ns/op
OverheadActual   5: 2048 op, 4680.00 ns, 2.2852 ns/op
OverheadActual   6: 2048 op, 4940.00 ns, 2.4121 ns/op
OverheadActual   7: 2048 op, 5091.00 ns, 2.4858 ns/op
OverheadActual   8: 2048 op, 5059.00 ns, 2.4702 ns/op
