// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/82f6b084-a98a-4daa-9451-92bb488eddf1
// command took 1.39s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/82f6b084-a98a-4daa-9451-92bb488eddf1
// command took 2.3s and exited with 0
// ***** Done, took 00:00:03 (3.87 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "82f6b084-a98a-4daa-9451-92bb488eddf1.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/82f6b084-a98a-4daa-9451-92bb488eddf1/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-VJNNYQ(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 283581.00 ns, 283.5810 us/op
WorkloadJitting  1: 1 op, 5291542.00 ns, 5.2915 ms/op

OverheadJitting  2: 16 op, 452690.00 ns, 28.2931 us/op
WorkloadJitting  2: 16 op, 8868474.00 ns, 554.2796 us/op

WorkloadPilot    1: 16 op, 8727364.00 ns, 545.4602 us/op
WorkloadPilot    2: 32 op, 17398595.00 ns, 543.7061 us/op
WorkloadPilot    3: 64 op, 33344833.00 ns, 521.0130 us/op
WorkloadPilot    4: 128 op, 69600321.00 ns, 543.7525 us/op
WorkloadPilot    5: 256 op, 137289659.00 ns, 536.2877 us/op
WorkloadPilot    6: 512 op, 193240389.00 ns, 377.4226 us/op
WorkloadPilot    7: 1024 op, 390563837.00 ns, 381.4100 us/op
WorkloadPilot    8: 2048 op, 792052344.00 ns, 386.7443 us/op

OverheadWarmup   1: 2048 op, 21894.00 ns, 10.6904 ns/op
OverheadWarmup   2: 2048 op, 20140.00 ns, 9.8340 ns/op
OverheadWarmup   3: 2048 op, 4261.00 ns, 2.0806 ns/op
OverheadWarmup   4: 2048 op, 4062.00 ns, 1.9834 ns/op
OverheadWarmup   5: 2048 op, 4086.00 ns, 1.9951 ns/op
OverheadWarmup   6: 2048 op, 3963.00 ns, 1.9351 ns/op
OverheadWarmup   7: 2048 op, 4239.00 ns, 2.0698 ns/op
OverheadWarmup   8: 2048 op, 4206.00 ns, 2.0537 ns/op

OverheadActual   1: 2048 op, 4520.00 ns, 2.2070 ns/op
OverheadActual   2: 2048 op, 4578.00 ns, 2.2354 ns/op
OverheadActual   3: 2048 op, 4766.00 ns, 2.3271 ns/op
OverheadActual   4: 2048 op, 4887.00 ns, 2.3862 ns/op
OverheadActual   5: 2048 op, 4825.00 ns, 2.3560 ns/op
OverheadActual   6: 2048 op, 4396.00 ns, 2.1465 ns/op
OverheadActual   7: 2048 op, 4267.00 ns, 2.0835 ns/op
OverheadActual   8: 2048 op, 4234.00 ns, 2.0674 ns/op
OverheadActual   9: 2048 op, 4063.00 ns, 1.9839 ns/op
OverheadActual  10: 2048 op, 4603.00 ns, 2.2476 ns/op
OverheadActual  11: 2048 op, 4446.00 ns, 2.1709 ns/op
OverheadActual  12: 2048 op, 4588.00 ns, 2.2402 ns/op
OverheadActual  13: 2048 op, 4401.00 ns, 2.1489 ns/op
OverheadActual  14: 2048 op, 4742.00 ns, 2.3154 ns/op
OverheadActual  15: 2048 op, 4499.00 ns, 2.1968 ns/op
OverheadActual  16: 2048 op, 4520.00 ns, 2.2070 ns/op
