// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/77d0a512-4760-462d-849e-6afb15fe059f
// command took 1.48s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/77d0a512-4760-462d-849e-6afb15fe059f
// command took 2.46s and exited with 0
// ***** Done, took 00:00:04 (4.06 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "77d0a512-4760-462d-849e-6afb15fe059f.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/77d0a512-4760-462d-849e-6afb15fe059f/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-VGPXJO(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 308566.00 ns, 308.5660 us/op
WorkloadJitting  1: 1 op, 5348097.00 ns, 5.3481 ms/op

OverheadJitting  2: 16 op, 385166.00 ns, 24.0729 us/op
WorkloadJitting  2: 16 op, 10332693.00 ns, 645.7933 us/op

WorkloadPilot    1: 16 op, 9022863.00 ns, 563.9289 us/op
WorkloadPilot    2: 32 op, 20322803.00 ns, 635.0876 us/op
WorkloadPilot    3: 64 op, 48837163.00 ns, 763.0807 us/op
WorkloadPilot    4: 128 op, 71369861.00 ns, 557.5770 us/op
WorkloadPilot    5: 256 op, 138063400.00 ns, 539.3102 us/op
WorkloadPilot    6: 512 op, 203563974.00 ns, 397.5859 us/op
WorkloadPilot    7: 1024 op, 403896737.00 ns, 394.4304 us/op
WorkloadPilot    8: 2048 op, 812702112.00 ns, 396.8272 us/op

OverheadWarmup   1: 2048 op, 8968.00 ns, 4.3789 ns/op
OverheadWarmup   2: 2048 op, 4128.00 ns, 2.0156 ns/op
OverheadWarmup   3: 2048 op, 4108.00 ns, 2.0059 ns/op
OverheadWarmup   4: 2048 op, 4042.00 ns, 1.9736 ns/op
OverheadWarmup   5: 2048 op, 3974.00 ns, 1.9404 ns/op
OverheadWarmup   6: 2048 op, 4131.00 ns, 2.0171 ns/op
OverheadWarmup   7: 2048 op, 3939.00 ns, 1.9233 ns/op
OverheadWarmup   8: 2048 op, 4281.00 ns, 2.0903 ns/op
OverheadWarmup   9: 2048 op, 4699.00 ns, 2.2944 ns/op
OverheadWarmup  10: 2048 op, 4283.00 ns, 2.0913 ns/op

OverheadActual   1: 2048 op, 4368.00 ns, 2.1328 ns/op
OverheadActual   2: 2048 op, 4881.00 ns, 2.3833 ns/op
OverheadActual   3: 2048 op, 4847.00 ns, 2.3667 ns/op
OverheadActual   4: 2048 op, 4906.00 ns, 2.3955 ns/op
OverheadActual   5: 2048 op, 4814.00 ns, 2.3506 ns/op
OverheadActual   6: 2048 op, 4997.00 ns, 2.4399 ns/op
OverheadActual   7: 2048 op, 4998.00 ns, 2.4404 ns/op
OverheadActual   8: 2048 op, 5015.00 ns, 2.4487 ns/op
