// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/19c7158b-6ad5-4bfa-8876-356cd6992f36
// command took 1.52s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/19c7158b-6ad5-4bfa-8876-356cd6992f36
// command took 2.52s and exited with 0
// ***** Done, took 00:00:04 (4.18 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "19c7158b-6ad5-4bfa-8876-356cd6992f36.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/19c7158b-6ad5-4bfa-8876-356cd6992f36/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-HIJGEM(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 436933.00 ns, 436.9330 us/op
WorkloadJitting  1: 1 op, 6038772.00 ns, 6.0388 ms/op

OverheadJitting  2: 16 op, 370191.00 ns, 23.1369 us/op
WorkloadJitting  2: 16 op, 9392638.00 ns, 587.0399 us/op

WorkloadPilot    1: 16 op, 10328086.00 ns, 645.5054 us/op
WorkloadPilot    2: 32 op, 18852223.00 ns, 589.1320 us/op
WorkloadPilot    3: 64 op, 37076080.00 ns, 579.3138 us/op
WorkloadPilot    4: 128 op, 70788815.00 ns, 553.0376 us/op
WorkloadPilot    5: 256 op, 131207572.00 ns, 512.5296 us/op
WorkloadPilot    6: 512 op, 209145402.00 ns, 408.4871 us/op
WorkloadPilot    7: 1024 op, 406873012.00 ns, 397.3369 us/op
WorkloadPilot    8: 2048 op, 819921425.00 ns, 400.3523 us/op

OverheadWarmup   1: 2048 op, 23289.00 ns, 11.3716 ns/op
OverheadWarmup   2: 2048 op, 3945.00 ns, 1.9263 ns/op
OverheadWarmup   3: 2048 op, 3990.00 ns, 1.9482 ns/op
OverheadWarmup   4: 2048 op, 3884.00 ns, 1.8965 ns/op
OverheadWarmup   5: 2048 op, 4117.00 ns, 2.0103 ns/op
OverheadWarmup   6: 2048 op, 4050.00 ns, 1.9775 ns/op

OverheadActual   1: 2048 op, 4187.00 ns, 2.0444 ns/op
OverheadActual   2: 2048 op, 4492.00 ns, 2.1934 ns/op
OverheadActual   3: 2048 op, 4600.00 ns, 2.2461 ns/op
OverheadActual   4: 2048 op, 4768.00 ns, 2.3281 ns/op
OverheadActual   5: 2048 op, 4440.00 ns, 2.1680 ns/op
OverheadActual   6: 2048 op, 4418.00 ns, 2.1572 ns/op
OverheadActual   7: 2048 op, 4235.00 ns, 2.0679 ns/op
OverheadActual   8: 2048 op, 4256.00 ns, 2.0781 ns/op
OverheadActual   9: 2048 op, 4659.00 ns, 2.2749 ns/op
OverheadActual  10: 2048 op, 5884.00 ns, 2.8730 ns/op
OverheadActual  11: 2048 op, 4957.00 ns, 2.4204 ns/op
OverheadActual  12: 2048 op, 4969.00 ns, 2.4263 ns/op
OverheadActual  13: 2048 op, 4808.00 ns, 2.3477 ns/op
OverheadActual  14: 2048 op, 5194.00 ns, 2.5361 ns/op
OverheadActual  15: 2048 op, 5111.00 ns, 2.4956 ns/op
OverheadActual  16: 2048 op, 5097.00 ns, 2.4888 ns/op
