// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/8247fdb7-b1cc-4230-89bb-7f8d03253ef4
// command took 1.39s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/8247fdb7-b1cc-4230-89bb-7f8d03253ef4
// command took 2.25s and exited with 0
// ***** Done, took 00:00:03 (3.78 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "8247fdb7-b1cc-4230-89bb-7f8d03253ef4.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/8247fdb7-b1cc-4230-89bb-7f8d03253ef4/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-TAEZMQ(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 267911.00 ns, 267.9110 us/op
WorkloadJitting  1: 1 op, 4924763.00 ns, 4.9248 ms/op

OverheadJitting  2: 16 op, 334978.00 ns, 20.9361 us/op
WorkloadJitting  2: 16 op, 1437917.00 ns, 89.8698 us/op

WorkloadPilot    1: 16 op, 1208664.00 ns, 75.5415 us/op
WorkloadPilot    2: 32 op, 2617435.00 ns, 81.7948 us/op
WorkloadPilot    3: 64 op, 4975607.00 ns, 77.7439 us/op
WorkloadPilot    4: 128 op, 10344699.00 ns, 80.8180 us/op
WorkloadPilot    5: 256 op, 20814598.00 ns, 81.3070 us/op
WorkloadPilot    6: 512 op, 40183077.00 ns, 78.4826 us/op
WorkloadPilot    7: 1024 op, 78301890.00 ns, 76.4667 us/op
WorkloadPilot    8: 2048 op, 121685667.00 ns, 59.4168 us/op
WorkloadPilot    9: 4096 op, 236290477.00 ns, 57.6881 us/op
WorkloadPilot   10: 8192 op, 477715363.00 ns, 58.3149 us/op
WorkloadPilot   11: 16384 op, 935733199.00 ns, 57.1126 us/op

OverheadWarmup   1: 16384 op, 58830.00 ns, 3.5907 ns/op
OverheadWarmup   2: 16384 op, 41766.00 ns, 2.5492 ns/op
OverheadWarmup   3: 16384 op, 54969.00 ns, 3.3550 ns/op
OverheadWarmup   4: 16384 op, 42700.00 ns, 2.6062 ns/op
OverheadWarmup   5: 16384 op, 44124.00 ns, 2.6931 ns/op
OverheadWarmup   6: 16384 op, 46644.00 ns, 2.8469 ns/op
OverheadWarmup   7: 16384 op, 45439.00 ns, 2.7734 ns/op

OverheadActual   1: 16384 op, 60920.00 ns, 3.7183 ns/op
OverheadActual   2: 16384 op, 30821.00 ns, 1.8812 ns/op
OverheadActual   3: 16384 op, 31357.00 ns, 1.9139 ns/op
OverheadActual   4: 16384 op, 32521.00 ns, 1.9849 ns/op
OverheadActual   5: 16384 op, 32488.00 ns, 1.9829 ns/op
OverheadActual   6: 16384 op, 31364.00 ns, 1.9143 ns/op
OverheadActual   7: 16384 op, 31405.00 ns, 1.9168 ns/op
OverheadActual   8: 16384 op, 30055.00 ns, 1.8344 ns/op
