// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/81939e2b-21c6-4dcb-8bc3-459e0f4bef1e
// command took 1.41s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/81939e2b-21c6-4dcb-8bc3-459e0f4bef1e
// command took 2.28s and exited with 0
// ***** Done, took 00:00:03 (3.8 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "81939e2b-21c6-4dcb-8bc3-459e0f4bef1e.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/81939e2b-21c6-4dcb-8bc3-459e0f4bef1e/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-TSKFZC(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 292386.00 ns, 292.3860 us/op
WorkloadJitting  1: 1 op, 5037624.00 ns, 5.0376 ms/op

OverheadJitting  2: 16 op, 299846.00 ns, 18.7404 us/op
WorkloadJitting  2: 16 op, 3749286.00 ns, 234.3304 us/op

WorkloadPilot    1: 16 op, 3814923.00 ns, 238.4327 us/op
WorkloadPilot    2: 32 op, 9629922.00 ns, 300.9351 us/op
WorkloadPilot    3: 64 op, 14983376.00 ns, 234.1153 us/op
WorkloadPilot    4: 128 op, 29577303.00 ns, 231.0727 us/op
WorkloadPilot    5: 256 op, 105418334.00 ns, 411.7904 us/op
WorkloadPilot    6: 512 op, 138905285.00 ns, 271.2994 us/op
WorkloadPilot    7: 1024 op, 209579928.00 ns, 204.6679 us/op
WorkloadPilot    8: 2048 op, 380758688.00 ns, 185.9173 us/op
WorkloadPilot    9: 4096 op, 790561386.00 ns, 193.0082 us/op

OverheadWarmup   1: 4096 op, 19337.00 ns, 4.7209 ns/op
OverheadWarmup   2: 4096 op, 10989.00 ns, 2.6829 ns/op
OverheadWarmup   3: 4096 op, 10114.00 ns, 2.4692 ns/op
OverheadWarmup   4: 4096 op, 9816.00 ns, 2.3965 ns/op
OverheadWarmup   5: 4096 op, 9998.00 ns, 2.4409 ns/op
OverheadWarmup   6: 4096 op, 9932.00 ns, 2.4248 ns/op
OverheadWarmup   7: 4096 op, 9709.00 ns, 2.3704 ns/op
OverheadWarmup   8: 4096 op, 10166.00 ns, 2.4819 ns/op
OverheadWarmup   9: 4096 op, 9625.00 ns, 2.3499 ns/op

OverheadActual   1: 4096 op, 9854.00 ns, 2.4058 ns/op
OverheadActual   2: 4096 op, 9915.00 ns, 2.4207 ns/op
OverheadActual   3: 4096 op, 9667.00 ns, 2.3601 ns/op
OverheadActual   4: 4096 op, 9725.00 ns, 2.3743 ns/op
OverheadActual   5: 4096 op, 9615.00 ns, 2.3474 ns/op
OverheadActual   6: 4096 op, 9539.00 ns, 2.3289 ns/op
OverheadActual   7: 4096 op, 9450.00 ns, 2.3071 ns/op
OverheadActual   8: 4096 op, 9649.00 ns, 2.3557 ns/op
