// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/bedc6ae2-9622-4214-9445-d73baa728dbe
// command took 1.42s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/bedc6ae2-9622-4214-9445-d73baa728dbe
// command took 2.3s and exited with 0
// ***** Done, took 00:00:03 (3.83 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "bedc6ae2-9622-4214-9445-d73baa728dbe.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/bedc6ae2-9622-4214-9445-d73baa728dbe/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-ZDUKRE(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 307679.00 ns, 307.6790 us/op
WorkloadJitting  1: 1 op, 4999734.00 ns, 4.9997 ms/op

OverheadJitting  2: 16 op, 385601.00 ns, 24.1001 us/op
WorkloadJitting  2: 16 op, 4089351.00 ns, 255.5844 us/op

WorkloadPilot    1: 16 op, 3598212.00 ns, 224.8882 us/op
WorkloadPilot    2: 32 op, 8079186.00 ns, 252.4746 us/op
WorkloadPilot    3: 64 op, 16121860.00 ns, 251.9041 us/op
WorkloadPilot    4: 128 op, 30205359.00 ns, 235.9794 us/op
WorkloadPilot    5: 256 op, 56160823.00 ns, 219.3782 us/op
WorkloadPilot    6: 512 op, 89186368.00 ns, 174.1921 us/op
WorkloadPilot    7: 1024 op, 177331756.00 ns, 173.1755 us/op
WorkloadPilot    8: 2048 op, 348514073.00 ns, 170.1729 us/op
WorkloadPilot    9: 4096 op, 705747943.00 ns, 172.3017 us/op

OverheadWarmup   1: 4096 op, 12599.00 ns, 3.0759 ns/op
OverheadWarmup   2: 4096 op, 7226.00 ns, 1.7642 ns/op
OverheadWarmup   3: 4096 op, 7296.00 ns, 1.7812 ns/op
OverheadWarmup   4: 4096 op, 7104.00 ns, 1.7344 ns/op
OverheadWarmup   5: 4096 op, 7181.00 ns, 1.7532 ns/op
OverheadWarmup   6: 4096 op, 7178.00 ns, 1.7524 ns/op

OverheadActual   1: 4096 op, 7252.00 ns, 1.7705 ns/op
OverheadActual   2: 4096 op, 7914.00 ns, 1.9321 ns/op
OverheadActual   3: 4096 op, 8549.00 ns, 2.0872 ns/op
OverheadActual   4: 4096 op, 8563.00 ns, 2.0906 ns/op
OverheadActual   5: 4096 op, 8646.00 ns, 2.1108 ns/op
OverheadActual   6: 4096 op, 8562.00 ns, 2.0903 ns/op
OverheadActual   7: 4096 op, 8267.00 ns, 2.0183 ns/op
OverheadActual   8: 4096 op, 8300.00 ns, 2.0264 ns/op
OverheadActual   9: 4096 op, 9143.00 ns, 2.2322 ns/op
OverheadActual  10: 4096 op, 8872.00 ns, 2.1660 ns/op
OverheadActual  11: 4096 op, 8588.00 ns, 2.0967 ns/op
OverheadActual  12: 4096 op, 8939.00 ns, 2.1824 ns/op
OverheadActual  13: 4096 op, 8877.00 ns, 2.1672 ns/op
OverheadActual  14: 4096 op, 9482.00 ns, 2.3149 ns/op
OverheadActual  15: 4096 op, 9803.00 ns, 2.3933 ns/op
OverheadActual  16: 4096 op, 9769.00 ns, 2.3850 ns/op
OverheadActual  17: 4096 op, 9423.00 ns, 2.3005 ns/op
OverheadActual  18: 4096 op, 9417.00 ns, 2.2991 ns/op
OverheadActual  19: 4096 op, 9523.00 ns, 2.3250 ns/op
OverheadActual  20: 4096 op, 9324.00 ns, 2.2764 ns/op

WorkloadWarmup   1: 4096 op, 701033362.00 ns, 171.1507 us/op

// BeforeActualRun
WorkloadActual   1: 4096 op, 704923395.00 ns, 172.1004 us/op
WorkloadActual   2: 4096 op, 694253271.00 ns, 169.4954 us/op
WorkloadActual   3: 4096 op, 702380843.00 ns, 171.4797 us/op

// AfterActualRun
WorkloadResult   1: 4096 op, 704914520.50 ns, 172.0983 us/op
WorkloadResult   2: 4096 op, 694244396.50 ns, 169.4933 us/op
WorkloadResult   3: 4096 op, 702371968.50 ns, 171.4775 us/op

// AfterAll
// Benchmark Process 181135 has exited with code 0

Mean = 171.023 μs, StdErr = 0.786 μs (0.46%), N = 3, StdDev = 1.361 μs
