// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/69528914-fc64-472c-b3f0-5b2f43fe42b9
// command took 1.42s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/69528914-fc64-472c-b3f0-5b2f43fe42b9
// command took 2.28s and exited with 0
// ***** Done, took 00:00:03 (3.8 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-BWQFWV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-BWQFWV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-BWQFWV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-BWQFWV(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-BWQFWV(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "69528914-fc64-472c-b3f0-5b2f43fe42b9.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/69528914-fc64-472c-b3f0-5b2f43fe42b9/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-HTOEKS(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 316567.00 ns, 316.5670 us/op
WorkloadJitting  1: 1 op, 5707141.00 ns, 5.7071 ms/op

OverheadJitting  2: 16 op, 377027.00 ns, 23.5642 us/op
WorkloadJitting  2: 16 op, 8686813.00 ns, 542.9258 us/op

WorkloadPilot    1: 16 op, 8278050.00 ns, 517.3781 us/op
WorkloadPilot    2: 32 op, 15654724.00 ns, 489.2101 us/op
WorkloadPilot    3: 64 op, 30566437.00 ns, 477.6006 us/op
WorkloadPilot    4: 128 op, 61775417.00 ns, 482.6204 us/op
WorkloadPilot    5: 256 op, 102253934.00 ns, 399.4294 us/op
WorkloadPilot    6: 512 op, 172374888.00 ns, 336.6697 us/op
WorkloadPilot    7: 1024 op, 339023794.00 ns, 331.0779 us/op
WorkloadPilot    8: 2048 op, 667736612.00 ns, 326.0433 us/op

OverheadWarmup   1: 2048 op, 23390.00 ns, 11.4209 ns/op
OverheadWarmup   2: 2048 op, 19746.00 ns, 9.6416 ns/op
OverheadWarmup   3: 2048 op, 4402.00 ns, 2.1494 ns/op
OverheadWarmup   4: 2048 op, 3952.00 ns, 1.9297 ns/op
OverheadWarmup   5: 2048 op, 3951.00 ns, 1.9292 ns/op
OverheadWarmup   6: 2048 op, 4140.00 ns, 2.0215 ns/op
OverheadWarmup   7: 2048 op, 4136.00 ns, 2.0195 ns/op
OverheadWarmup   8: 2048 op, 4209.00 ns, 2.0552 ns/op
OverheadWarmup   9: 2048 op, 4281.00 ns, 2.0903 ns/op
OverheadWarmup  10: 2048 op, 4620.00 ns, 2.2559 ns/op

OverheadActual   1: 2048 op, 4603.00 ns, 2.2476 ns/op
OverheadActual   2: 2048 op, 4706.00 ns, 2.2979 ns/op
OverheadActual   3: 2048 op, 5129.00 ns, 2.5044 ns/op
OverheadActual   4: 2048 op, 4865.00 ns, 2.3755 ns/op
OverheadActual   5: 2048 op, 4968.00 ns, 2.4258 ns/op
OverheadActual   6: 2048 op, 4487.00 ns, 2.1909 ns/op
OverheadActual   7: 2048 op, 4929.00 ns, 2.4067 ns/op
OverheadActual   8: 2048 op, 5197.00 ns, 2.5376 ns/op
