// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31
// command took 1.7s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31
// command took 2.59s and exited with 0
// ***** Done, took 00:00:04 (4.41 sec)   *****
// Found 6 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.RunInSQL: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a76993a1-1aec-4ce6-9080-bf4c537f3e31.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-SNRUQN(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 306633.00 ns, 306.6330 us/op
WorkloadJitting  1: 1 op, 7468622.00 ns, 7.4686 ms/op

OverheadJitting  2: 16 op, 411462.00 ns, 25.7164 us/op
WorkloadJitting  2: 16 op, 25946976.00 ns, 1.6217 ms/op

WorkloadPilot    1: 16 op, 22302844.00 ns, 1.3939 ms/op
WorkloadPilot    2: 32 op, 44129725.00 ns, 1.3791 ms/op
WorkloadPilot    3: 64 op, 90766385.00 ns, 1.4182 ms/op
WorkloadPilot    4: 128 op, 140158232.00 ns, 1.0950 ms/op
WorkloadPilot    5: 256 op, 279651589.00 ns, 1.0924 ms/op
WorkloadPilot    6: 512 op, 505521487.00 ns, 987.3467 us/op

OverheadWarmup   1: 512 op, 7198.00 ns, 14.0586 ns/op
OverheadWarmup   2: 512 op, 2260.00 ns, 4.4141 ns/op
OverheadWarmup   3: 512 op, 1771.00 ns, 3.4590 ns/op
OverheadWarmup   4: 512 op, 1872.00 ns, 3.6562 ns/op
OverheadWarmup   5: 512 op, 1785.00 ns, 3.4863 ns/op
OverheadWarmup   6: 512 op, 1751.00 ns, 3.4199 ns/op
OverheadWarmup   7: 512 op, 1800.00 ns, 3.5156 ns/op
OverheadWarmup   8: 512 op, 2422.00 ns, 4.7305 ns/op
OverheadWarmup   9: 512 op, 1923.00 ns, 3.7559 ns/op

OverheadActual   1: 512 op, 1855.00 ns, 3.6230 ns/op
OverheadActual   2: 512 op, 1969.00 ns, 3.8457 ns/op
OverheadActual   3: 512 op, 1925.00 ns, 3.7598 ns/op
OverheadActual   4: 512 op, 1802.00 ns, 3.5195 ns/op
OverheadActual   5: 512 op, 1983.00 ns, 3.8730 ns/op
OverheadActual   6: 512 op, 2129.00 ns, 4.1582 ns/op
OverheadActual   7: 512 op, 1905.00 ns, 3.7207 ns/op
OverheadActual   8: 512 op, 1925.00 ns, 3.7598 ns/op
OverheadActual   9: 512 op, 1761.00 ns, 3.4395 ns/op
OverheadActual  10: 512 op, 1844.00 ns, 3.6016 ns/op
OverheadActual  11: 512 op, 1821.00 ns, 3.5566 ns/op
OverheadActual  12: 512 op, 1869.00 ns, 3.6504 ns/op
OverheadActual  13: 512 op, 1701.00 ns, 3.3223 ns/op
OverheadActual  14: 512 op, 2191.00 ns, 4.2793 ns/op
OverheadActual  15: 512 op, 2592.00 ns, 5.0625 ns/op
OverheadActual  16: 512 op, 1877.00 ns, 3.6660 ns/op
OverheadActual  17: 512 op, 1813.00 ns, 3.5410 ns/op
OverheadActual  18: 512 op, 1996.00 ns, 3.8984 ns/op
OverheadActual  19: 512 op, 1726.00 ns, 3.3711 ns/op
OverheadActual  20: 512 op, 2554.00 ns, 4.9883 ns/op

WorkloadWarmup   1: 512 op, 541007828.00 ns, 1.0567 ms/op

// BeforeActualRun
WorkloadActual   1: 512 op, 501628344.00 ns, 979.7429 us/op
WorkloadActual   2: 512 op, 540883084.00 ns, 1.0564 ms/op
WorkloadActual   3: 512 op, 505568714.00 ns, 987.4389 us/op

// AfterActualRun
WorkloadResult   1: 512 op, 501626453.00 ns, 979.7392 us/op
WorkloadResult   2: 512 op, 540881193.00 ns, 1.0564 ms/op
WorkloadResult   3: 512 op, 505566823.00 ns, 987.4352 us/op

// AfterAll
// Benchmark Process 503364 has exited with code 0

Mean = 1.008 ms, StdErr = 0.024 ms (2.42%), N = 3, StdDev = 0.042 ms
Min = 0.980 ms, Q1 = 0.984 ms, Median = 0.987 ms, Q3 = 1.022 ms, Max = 1.056 ms
IQR = 0.038 ms, LowerFence = 0.926 ms, UpperFence = 1.079 ms
ConfidenceInterval = [0.238 ms; 1.778 ms] (CI 99.9%), Margin = 0.770 ms (76.42% of Mean)
Skewness = 0.37, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a76993a1-1aec-4ce6-9080-bf4c537f3e31.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-KMPFST(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 339790.00 ns, 339.7900 us/op
WorkloadJitting  1: 1 op, 6120933.00 ns, 6.1209 ms/op

OverheadJitting  2: 16 op, 393785.00 ns, 24.6116 us/op
WorkloadJitting  2: 16 op, 57595554.00 ns, 3.5997 ms/op

WorkloadPilot    1: 16 op, 52935480.00 ns, 3.3085 ms/op
WorkloadPilot    2: 32 op, 98357242.00 ns, 3.0737 ms/op
WorkloadPilot    3: 64 op, 130066439.00 ns, 2.0323 ms/op
WorkloadPilot    4: 128 op, 165662061.00 ns, 1.2942 ms/op
WorkloadPilot    5: 256 op, 330864279.00 ns, 1.2924 ms/op
WorkloadPilot    6: 512 op, 671651967.00 ns, 1.3118 ms/op

OverheadWarmup   1: 512 op, 7227.00 ns, 14.1152 ns/op
OverheadWarmup   2: 512 op, 1774.00 ns, 3.4648 ns/op
OverheadWarmup   3: 512 op, 1846.00 ns, 3.6055 ns/op
OverheadWarmup   4: 512 op, 1897.00 ns, 3.7051 ns/op
OverheadWarmup   5: 512 op, 1776.00 ns, 3.4688 ns/op
OverheadWarmup   6: 512 op, 1923.00 ns, 3.7559 ns/op
OverheadWarmup   7: 512 op, 2054.00 ns, 4.0117 ns/op
OverheadWarmup   8: 512 op, 1926.00 ns, 3.7617 ns/op

OverheadActual   1: 512 op, 1809.00 ns, 3.5332 ns/op
