// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/e3b7556d-df1d-4977-89e3-748e45cdbde9
// command took 1.49s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/e3b7556d-df1d-4977-89e3-748e45cdbde9
// command took 2.26s and exited with 0
// ***** Done, took 00:00:03 (3.85 sec)   *****
// Found 3 benchmarks:
//   GetMostActiveVisistors.MergeJoin: Job-NZKPSJ(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-NZKPSJ(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-NZKPSJ(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-NZKPSJ(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e3b7556d-df1d-4977-89e3-748e45cdbde9.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/e3b7556d-df1d-4977-89e3-748e45cdbde9/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-SENAFN(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 359142.00 ns, 359.1420 us/op
WorkloadJitting  1: 1 op, 6714129.00 ns, 6.7141 ms/op

OverheadJitting  2: 16 op, 415578.00 ns, 25.9736 us/op
WorkloadJitting  2: 16 op, 74129037.00 ns, 4.6331 ms/op

WorkloadPilot    1: 16 op, 76559189.00 ns, 4.7849 ms/op
WorkloadPilot    2: 32 op, 140015087.00 ns, 4.3755 ms/op
WorkloadPilot    3: 64 op, 126259273.00 ns, 1.9728 ms/op
WorkloadPilot    4: 128 op, 308895032.00 ns, 2.4132 ms/op
WorkloadPilot    5: 256 op, 449929906.00 ns, 1.7575 ms/op
WorkloadPilot    6: 512 op, 780629491.00 ns, 1.5247 ms/op

OverheadWarmup   1: 512 op, 8078.00 ns, 15.7773 ns/op
OverheadWarmup   2: 512 op, 1896.00 ns, 3.7031 ns/op
OverheadWarmup   3: 512 op, 2109.00 ns, 4.1191 ns/op
OverheadWarmup   4: 512 op, 2190.00 ns, 4.2773 ns/op
OverheadWarmup   5: 512 op, 3193.00 ns, 6.2363 ns/op
OverheadWarmup   6: 512 op, 2044.00 ns, 3.9922 ns/op
OverheadWarmup   7: 512 op, 2018.00 ns, 3.9414 ns/op
OverheadWarmup   8: 512 op, 2064.00 ns, 4.0312 ns/op
OverheadWarmup   9: 512 op, 1959.00 ns, 3.8262 ns/op

OverheadActual   1: 512 op, 2240.00 ns, 4.3750 ns/op
OverheadActual   2: 512 op, 2006.00 ns, 3.9180 ns/op
OverheadActual   3: 512 op, 2065.00 ns, 4.0332 ns/op
OverheadActual   4: 512 op, 2354.00 ns, 4.5977 ns/op
OverheadActual   5: 512 op, 1978.00 ns, 3.8633 ns/op
OverheadActual   6: 512 op, 2476.00 ns, 4.8359 ns/op
OverheadActual   7: 512 op, 1876.00 ns, 3.6641 ns/op
OverheadActual   8: 512 op, 1717.00 ns, 3.3535 ns/op
OverheadActual   9: 512 op, 1888.00 ns, 3.6875 ns/op
OverheadActual  10: 512 op, 1855.00 ns, 3.6230 ns/op
OverheadActual  11: 512 op, 1948.00 ns, 3.8047 ns/op
OverheadActual  12: 512 op, 1851.00 ns, 3.6152 ns/op
OverheadActual  13: 512 op, 1997.00 ns, 3.9004 ns/op
OverheadActual  14: 512 op, 1786.00 ns, 3.4883 ns/op
OverheadActual  15: 512 op, 2025.00 ns, 3.9551 ns/op
OverheadActual  16: 512 op, 1957.00 ns, 3.8223 ns/op
OverheadActual  17: 512 op, 2471.00 ns, 4.8262 ns/op
OverheadActual  18: 512 op, 2285.00 ns, 4.4629 ns/op
OverheadActual  19: 512 op, 1831.00 ns, 3.5762 ns/op
OverheadActual  20: 512 op, 2151.00 ns, 4.2012 ns/op

WorkloadWarmup   1: 512 op, 656783723.00 ns, 1.2828 ms/op

// BeforeActualRun
WorkloadActual   1: 512 op, 631331199.00 ns, 1.2331 ms/op
WorkloadActual   2: 512 op, 697178274.00 ns, 1.3617 ms/op
WorkloadActual   3: 512 op, 656549424.00 ns, 1.2823 ms/op

// AfterActualRun
WorkloadResult   1: 512 op, 631329211.50 ns, 1.2331 ms/op
WorkloadResult   2: 512 op, 697176286.50 ns, 1.3617 ms/op
WorkloadResult   3: 512 op, 656547436.50 ns, 1.2823 ms/op

// AfterAll
// Benchmark Process 508579 has exited with code 0

Mean = 1.292 ms, StdErr = 0.037 ms (2.90%), N = 3, StdDev = 0.065 ms
Min = 1.233 ms, Q1 = 1.258 ms, Median = 1.282 ms, Q3 = 1.322 ms, Max = 1.362 ms
IQR = 0.064 ms, LowerFence = 1.161 ms, UpperFence = 1.418 ms
ConfidenceInterval = [0.109 ms; 2.476 ms] (CI 99.9%), Margin = 1.184 ms (91.60% of Mean)
Skewness = 0.15, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-NZKPSJ(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e3b7556d-df1d-4977-89e3-748e45cdbde9.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/e3b7556d-df1d-4977-89e3-748e45cdbde9/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-SCWEBF(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 276494.00 ns, 276.4940 us/op
WorkloadJitting  1: 1 op, 20282797.00 ns, 20.2828 ms/op

OverheadJitting  2: 16 op, 334727.00 ns, 20.9204 us/op
WorkloadJitting  2: 16 op, 317165961.00 ns, 19.8229 ms/op

WorkloadPilot    1: 16 op, 306764768.00 ns, 19.1728 ms/op
WorkloadPilot    2: 32 op, 623026393.00 ns, 19.4696 ms/op

OverheadWarmup   1: 32 op, 5062.00 ns, 158.1875 ns/op
OverheadWarmup   2: 32 op, 779.00 ns, 24.3438 ns/op
OverheadWarmup   3: 32 op, 2073.00 ns, 64.7812 ns/op
OverheadWarmup   4: 32 op, 682.00 ns, 21.3125 ns/op
OverheadWarmup   5: 32 op, 760.00 ns, 23.7500 ns/op
OverheadWarmup   6: 32 op, 822.00 ns, 25.6875 ns/op
