// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/d39ca21c-2813-4806-885c-cc2a358a93e4
// command took 1.43s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/d39ca21c-2813-4806-885c-cc2a358a93e4
// command took 2.33s and exited with 0
// ***** Done, took 00:00:03 (3.87 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d39ca21c-2813-4806-885c-cc2a358a93e4.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/d39ca21c-2813-4806-885c-cc2a358a93e4/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-ELZIBK(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 275476.00 ns, 275.4760 us/op
WorkloadJitting  1: 1 op, 6259328.00 ns, 6.2593 ms/op

OverheadJitting  2: 16 op, 391316.00 ns, 24.4572 us/op
WorkloadJitting  2: 16 op, 25062554.00 ns, 1.5664 ms/op

WorkloadPilot    1: 16 op, 22916806.00 ns, 1.4323 ms/op
WorkloadPilot    2: 32 op, 43016967.00 ns, 1.3443 ms/op
WorkloadPilot    3: 64 op, 82170899.00 ns, 1.2839 ms/op
WorkloadPilot    4: 128 op, 161906484.00 ns, 1.2649 ms/op
WorkloadPilot    5: 256 op, 244374195.00 ns, 954.5867 us/op
WorkloadPilot    6: 512 op, 523961175.00 ns, 1.0234 ms/op

OverheadWarmup   1: 512 op, 6422.00 ns, 12.5430 ns/op
OverheadWarmup   2: 512 op, 1783.00 ns, 3.4824 ns/op
OverheadWarmup   3: 512 op, 1581.00 ns, 3.0879 ns/op
OverheadWarmup   4: 512 op, 1844.00 ns, 3.6016 ns/op
OverheadWarmup   5: 512 op, 1748.00 ns, 3.4141 ns/op
OverheadWarmup   6: 512 op, 1629.00 ns, 3.1816 ns/op
OverheadWarmup   7: 512 op, 1953.00 ns, 3.8145 ns/op
OverheadWarmup   8: 512 op, 1886.00 ns, 3.6836 ns/op

OverheadActual   1: 512 op, 2010.00 ns, 3.9258 ns/op
OverheadActual   2: 512 op, 1871.00 ns, 3.6543 ns/op
OverheadActual   3: 512 op, 1825.00 ns, 3.5645 ns/op
OverheadActual   4: 512 op, 1739.00 ns, 3.3965 ns/op
OverheadActual   5: 512 op, 2339.00 ns, 4.5684 ns/op
OverheadActual   6: 512 op, 1954.00 ns, 3.8164 ns/op
OverheadActual   7: 512 op, 1717.00 ns, 3.3535 ns/op
OverheadActual   8: 512 op, 3169.00 ns, 6.1895 ns/op
OverheadActual   9: 512 op, 2012.00 ns, 3.9297 ns/op
OverheadActual  10: 512 op, 1790.00 ns, 3.4961 ns/op
OverheadActual  11: 512 op, 1942.00 ns, 3.7930 ns/op
OverheadActual  12: 512 op, 1746.00 ns, 3.4102 ns/op
