// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/2fe93411-377e-4907-a46f-372324484809
// command took 1.4s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/2fe93411-377e-4907-a46f-372324484809
// command took 2.19s and exited with 0
// ***** Done, took 00:00:03 (3.7 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2fe93411-377e-4907-a46f-372324484809.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/2fe93411-377e-4907-a46f-372324484809/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-LXWTEL(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 274475.00 ns, 274.4750 us/op
WorkloadJitting  1: 1 op, 5051675.00 ns, 5.0517 ms/op

OverheadJitting  2: 16 op, 345833.00 ns, 21.6146 us/op
WorkloadJitting  2: 16 op, 590536.00 ns, 36.9085 us/op

WorkloadPilot    1: 16 op, 170410.00 ns, 10.6506 us/op
WorkloadPilot    2: 32 op, 324124.00 ns, 10.1289 us/op
WorkloadPilot    3: 64 op, 638029.00 ns, 9.9692 us/op
WorkloadPilot    4: 128 op, 1272505.00 ns, 9.9414 us/op
WorkloadPilot    5: 256 op, 2676357.00 ns, 10.4545 us/op
WorkloadPilot    6: 512 op, 6258599.00 ns, 12.2238 us/op
WorkloadPilot    7: 1024 op, 10510346.00 ns, 10.2640 us/op
WorkloadPilot    8: 2048 op, 22118945.00 ns, 10.8003 us/op
WorkloadPilot    9: 4096 op, 42631405.00 ns, 10.4081 us/op
WorkloadPilot   10: 8192 op, 77766665.00 ns, 9.4930 us/op
WorkloadPilot   11: 16384 op, 127279723.00 ns, 7.7685 us/op
WorkloadPilot   12: 32768 op, 245216154.00 ns, 7.4834 us/op
WorkloadPilot   13: 65536 op, 479535457.00 ns, 7.3171 us/op
WorkloadPilot   14: 131072 op, 962431863.00 ns, 7.3428 us/op

OverheadWarmup   1: 131072 op, 362134.00 ns, 2.7629 ns/op
OverheadWarmup   2: 131072 op, 289445.00 ns, 2.2083 ns/op
OverheadWarmup   3: 131072 op, 241822.00 ns, 1.8450 ns/op
OverheadWarmup   4: 131072 op, 299390.00 ns, 2.2842 ns/op
OverheadWarmup   5: 131072 op, 272640.00 ns, 2.0801 ns/op
OverheadWarmup   6: 131072 op, 286027.00 ns, 2.1822 ns/op
OverheadWarmup   7: 131072 op, 238315.00 ns, 1.8182 ns/op

OverheadActual   1: 131072 op, 251712.00 ns, 1.9204 ns/op
OverheadActual   2: 131072 op, 314745.00 ns, 2.4013 ns/op
OverheadActual   3: 131072 op, 265418.00 ns, 2.0250 ns/op
OverheadActual   4: 131072 op, 233787.00 ns, 1.7837 ns/op
