// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/1f992b5f-ea99-42d0-8689-cd1754a75f34
// command took 1.37s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/1f992b5f-ea99-42d0-8689-cd1754a75f34
// command took 2.28s and exited with 0
// ***** Done, took 00:00:03 (3.76 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1f992b5f-ea99-42d0-8689-cd1754a75f34.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/1f992b5f-ea99-42d0-8689-cd1754a75f34/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-XSOJOW(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 335015.00 ns, 335.0150 us/op
WorkloadJitting  1: 1 op, 5081124.00 ns, 5.0811 ms/op

OverheadJitting  2: 16 op, 385254.00 ns, 24.0784 us/op
WorkloadJitting  2: 16 op, 4203463.00 ns, 262.7164 us/op

WorkloadPilot    1: 16 op, 3608455.00 ns, 225.5284 us/op
WorkloadPilot    2: 32 op, 8578389.00 ns, 268.0747 us/op
WorkloadPilot    3: 64 op, 14602561.00 ns, 228.1650 us/op
WorkloadPilot    4: 128 op, 29529792.00 ns, 230.7015 us/op
WorkloadPilot    5: 256 op, 59653187.00 ns, 233.0203 us/op
WorkloadPilot    6: 512 op, 92400095.00 ns, 180.4689 us/op
WorkloadPilot    7: 1024 op, 181863171.00 ns, 177.6008 us/op
WorkloadPilot    8: 2048 op, 347470207.00 ns, 169.6632 us/op
WorkloadPilot    9: 4096 op, 697235818.00 ns, 170.2236 us/op

OverheadWarmup   1: 4096 op, 40052.00 ns, 9.7783 ns/op
OverheadWarmup   2: 4096 op, 7270.00 ns, 1.7749 ns/op
OverheadWarmup   3: 4096 op, 7180.00 ns, 1.7529 ns/op
OverheadWarmup   4: 4096 op, 7806.00 ns, 1.9058 ns/op
OverheadWarmup   5: 4096 op, 7757.00 ns, 1.8938 ns/op
OverheadWarmup   6: 4096 op, 7844.00 ns, 1.9150 ns/op
OverheadWarmup   7: 4096 op, 7995.00 ns, 1.9519 ns/op
OverheadWarmup   8: 4096 op, 8173.00 ns, 1.9954 ns/op
OverheadWarmup   9: 4096 op, 7976.00 ns, 1.9473 ns/op

OverheadActual   1: 4096 op, 8251.00 ns, 2.0144 ns/op
OverheadActual   2: 4096 op, 8557.00 ns, 2.0891 ns/op
OverheadActual   3: 4096 op, 8937.00 ns, 2.1819 ns/op
OverheadActual   4: 4096 op, 9006.00 ns, 2.1987 ns/op
OverheadActual   5: 4096 op, 8773.00 ns, 2.1418 ns/op
OverheadActual   6: 4096 op, 8905.00 ns, 2.1741 ns/op
OverheadActual   7: 4096 op, 8952.00 ns, 2.1855 ns/op
OverheadActual   8: 4096 op, 9050.00 ns, 2.2095 ns/op
OverheadActual   9: 4096 op, 8714.00 ns, 2.1274 ns/op
OverheadActual  10: 4096 op, 8743.00 ns, 2.1345 ns/op
OverheadActual  11: 4096 op, 8403.00 ns, 2.0515 ns/op
OverheadActual  12: 4096 op, 8444.00 ns, 2.0615 ns/op
OverheadActual  13: 4096 op, 8421.00 ns, 2.0559 ns/op
OverheadActual  14: 4096 op, 8177.00 ns, 1.9963 ns/op
OverheadActual  15: 4096 op, 8496.00 ns, 2.0742 ns/op

WorkloadWarmup   1: 4096 op, 696294371.00 ns, 169.9937 us/op

// BeforeActualRun
WorkloadActual   1: 4096 op, 727770406.00 ns, 177.6783 us/op
WorkloadActual   2: 4096 op, 701454060.00 ns, 171.2534 us/op
WorkloadActual   3: 4096 op, 693181750.00 ns, 169.2338 us/op

// AfterActualRun
WorkloadResult   1: 4096 op, 727761692.00 ns, 177.6762 us/op
WorkloadResult   2: 4096 op, 701445346.00 ns, 171.2513 us/op
WorkloadResult   3: 4096 op, 693173036.00 ns, 169.2317 us/op

// AfterAll
// Benchmark Process 544649 has exited with code 0

Mean = 172.720 μs, StdErr = 2.546 μs (1.47%), N = 3, StdDev = 4.410 μs
Min = 169.232 μs, Q1 = 170.242 μs, Median = 171.251 μs, Q3 = 174.464 μs, Max = 177.676 μs
IQR = 4.222 μs, LowerFence = 163.908 μs, UpperFence = 180.797 μs
ConfidenceInterval = [92.272 μs; 253.167 μs] (CI 99.9%), Margin = 80.448 μs (46.58% of Mean)
Skewness = 0.3, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1f992b5f-ea99-42d0-8689-cd1754a75f34.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/1f992b5f-ea99-42d0-8689-cd1754a75f34/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-NNLGVE(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 283519.00 ns, 283.5190 us/op
WorkloadJitting  1: 1 op, 2275975.00 ns, 2.2760 ms/op

OverheadJitting  2: 16 op, 287381.00 ns, 17.9613 us/op
WorkloadJitting  2: 16 op, 9177371.00 ns, 573.5857 us/op

WorkloadPilot    1: 16 op, 7058152.00 ns, 441.1345 us/op
WorkloadPilot    2: 32 op, 13571852.00 ns, 424.1204 us/op
WorkloadPilot    3: 64 op, 29560202.00 ns, 461.8782 us/op
WorkloadPilot    4: 128 op, 54255228.00 ns, 423.8690 us/op
WorkloadPilot    5: 256 op, 67990589.00 ns, 265.5882 us/op
WorkloadPilot    6: 512 op, 96471392.00 ns, 188.4207 us/op
WorkloadPilot    7: 1024 op, 190986560.00 ns, 186.5103 us/op
WorkloadPilot    8: 2048 op, 352629231.00 ns, 172.1822 us/op
WorkloadPilot    9: 4096 op, 760472114.00 ns, 185.6621 us/op

OverheadWarmup   1: 4096 op, 12569.00 ns, 3.0686 ns/op
OverheadWarmup   2: 4096 op, 7798.00 ns, 1.9038 ns/op
OverheadWarmup   3: 4096 op, 7705.00 ns, 1.8811 ns/op
OverheadWarmup   4: 4096 op, 7738.00 ns, 1.8892 ns/op
OverheadWarmup   5: 4096 op, 8328.00 ns, 2.0332 ns/op
OverheadWarmup   6: 4096 op, 10128.00 ns, 2.4727 ns/op
OverheadWarmup   7: 4096 op, 9522.00 ns, 2.3247 ns/op
OverheadWarmup   8: 4096 op, 9291.00 ns, 2.2683 ns/op
OverheadWarmup   9: 4096 op, 9255.00 ns, 2.2595 ns/op
OverheadWarmup  10: 4096 op, 9466.00 ns, 2.3110 ns/op

OverheadActual   1: 4096 op, 9500.00 ns, 2.3193 ns/op
OverheadActual   2: 4096 op, 9343.00 ns, 2.2810 ns/op
OverheadActual   3: 4096 op, 9355.00 ns, 2.2839 ns/op
OverheadActual   4: 4096 op, 9422.00 ns, 2.3003 ns/op
OverheadActual   5: 4096 op, 9415.00 ns, 2.2986 ns/op
OverheadActual   6: 4096 op, 9288.00 ns, 2.2676 ns/op
OverheadActual   7: 4096 op, 9390.00 ns, 2.2925 ns/op
OverheadActual   8: 4096 op, 9543.00 ns, 2.3298 ns/op
OverheadActual   9: 4096 op, 10017.00 ns, 2.4456 ns/op
OverheadActual  10: 4096 op, 9453.00 ns, 2.3079 ns/op
OverheadActual  11: 4096 op, 9531.00 ns, 2.3269 ns/op
OverheadActual  12: 4096 op, 9887.00 ns, 2.4138 ns/op
OverheadActual  13: 4096 op, 9468.00 ns, 2.3115 ns/op
OverheadActual  14: 4096 op, 9448.00 ns, 2.3066 ns/op
OverheadActual  15: 4096 op, 9420.00 ns, 2.2998 ns/op

WorkloadWarmup   1: 4096 op, 741289284.00 ns, 180.9788 us/op

// BeforeActualRun
WorkloadActual   1: 4096 op, 683605942.00 ns, 166.8960 us/op
WorkloadActual   2: 4096 op, 740045135.00 ns, 180.6751 us/op
WorkloadActual   3: 4096 op, 706808127.00 ns, 172.5606 us/op

// AfterActualRun
WorkloadResult   1: 4096 op, 683596494.00 ns, 166.8937 us/op
WorkloadResult   2: 4096 op, 740035687.00 ns, 180.6728 us/op
WorkloadResult   3: 4096 op, 706798679.00 ns, 172.5583 us/op

// AfterAll
// Benchmark Process 544666 has exited with code 0

Mean = 173.375 μs, StdErr = 3.999 μs (2.31%), N = 3, StdDev = 6.926 μs
Min = 166.894 μs, Q1 = 169.726 μs, Median = 172.558 μs, Q3 = 176.616 μs, Max = 180.673 μs
IQR = 6.890 μs, LowerFence = 159.392 μs, UpperFence = 186.950 μs
ConfidenceInterval = [47.023 μs; 299.726 μs] (CI 99.9%), Margin = 126.352 μs (72.88% of Mean)
Skewness = 0.12, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1f992b5f-ea99-42d0-8689-cd1754a75f34.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/1f992b5f-ea99-42d0-8689-cd1754a75f34/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-EFSPLY(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 390254.00 ns, 390.2540 us/op
WorkloadJitting  1: 1 op, 1614426.00 ns, 1.6144 ms/op

OverheadJitting  2: 16 op, 345269.00 ns, 21.5793 us/op
WorkloadJitting  2: 16 op, 12014960.00 ns, 750.9350 us/op

WorkloadPilot    1: 16 op, 14949224.00 ns, 934.3265 us/op
WorkloadPilot    2: 32 op, 39894521.00 ns, 1.2467 ms/op
WorkloadPilot    3: 64 op, 52585936.00 ns, 821.6553 us/op
WorkloadPilot    4: 128 op, 90158070.00 ns, 704.3599 us/op
WorkloadPilot    5: 256 op, 163449778.00 ns, 638.4757 us/op
WorkloadPilot    6: 512 op, 310986735.00 ns, 607.3960 us/op
WorkloadPilot    7: 1024 op, 636556498.00 ns, 621.6372 us/op

OverheadWarmup   1: 1024 op, 6488.00 ns, 6.3359 ns/op
OverheadWarmup   2: 1024 op, 2413.00 ns, 2.3564 ns/op
OverheadWarmup   3: 1024 op, 2583.00 ns, 2.5225 ns/op
OverheadWarmup   4: 1024 op, 3373.00 ns, 3.2939 ns/op
OverheadWarmup   5: 1024 op, 2896.00 ns, 2.8281 ns/op
OverheadWarmup   6: 1024 op, 2785.00 ns, 2.7197 ns/op
OverheadWarmup   7: 1024 op, 2994.00 ns, 2.9238 ns/op
OverheadWarmup   8: 1024 op, 3304.00 ns, 3.2266 ns/op
OverheadWarmup   9: 1024 op, 3199.00 ns, 3.1240 ns/op

OverheadActual   1: 1024 op, 2754.00 ns, 2.6895 ns/op
OverheadActual   2: 1024 op, 2798.00 ns, 2.7324 ns/op
OverheadActual   3: 1024 op, 2714.00 ns, 2.6504 ns/op
OverheadActual   4: 1024 op, 2822.00 ns, 2.7559 ns/op
OverheadActual   5: 1024 op, 3929.00 ns, 3.8369 ns/op
OverheadActual   6: 1024 op, 2786.00 ns, 2.7207 ns/op
OverheadActual   7: 1024 op, 2871.00 ns, 2.8037 ns/op
OverheadActual   8: 1024 op, 3541.00 ns, 3.4580 ns/op
OverheadActual   9: 1024 op, 2976.00 ns, 2.9062 ns/op
OverheadActual  10: 1024 op, 3319.00 ns, 3.2412 ns/op
OverheadActual  11: 1024 op, 2916.00 ns, 2.8477 ns/op
OverheadActual  12: 1024 op, 2815.00 ns, 2.7490 ns/op
OverheadActual  13: 1024 op, 2837.00 ns, 2.7705 ns/op
OverheadActual  14: 1024 op, 3104.00 ns, 3.0312 ns/op
OverheadActual  15: 1024 op, 2910.00 ns, 2.8418 ns/op
OverheadActual  16: 1024 op, 2960.00 ns, 2.8906 ns/op
OverheadActual  17: 1024 op, 2922.00 ns, 2.8535 ns/op

WorkloadWarmup   1: 1024 op, 702411293.00 ns, 685.9485 us/op

// BeforeActualRun
