// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01
// command took 1.33s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01
// command took 2.17s and exited with 0
// ***** Done, took 00:00:03 (3.6 sec)   *****
// Found 6 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.LinqJoin_LinkedList: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f03f4492-eb05-4dff-b8d5-34420fbc6e01.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-DYHPOY(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 330331.00 ns, 330.3310 us/op
WorkloadJitting  1: 1 op, 5835672.00 ns, 5.8357 ms/op

OverheadJitting  2: 16 op, 295071.00 ns, 18.4419 us/op
WorkloadJitting  2: 16 op, 8916692.00 ns, 557.2932 us/op

WorkloadPilot    1: 16 op, 9093029.00 ns, 568.3143 us/op
WorkloadPilot    2: 32 op, 17316178.00 ns, 541.1306 us/op
WorkloadPilot    3: 64 op, 34633890.00 ns, 541.1545 us/op
WorkloadPilot    4: 128 op, 67617355.00 ns, 528.2606 us/op
WorkloadPilot    5: 256 op, 131255030.00 ns, 512.7150 us/op
WorkloadPilot    6: 512 op, 198596527.00 ns, 387.8838 us/op
WorkloadPilot    7: 1024 op, 382894742.00 ns, 373.9206 us/op
WorkloadPilot    8: 2048 op, 750660560.00 ns, 366.5335 us/op

OverheadWarmup   1: 2048 op, 22308.00 ns, 10.8926 ns/op
OverheadWarmup   2: 2048 op, 4162.00 ns, 2.0322 ns/op
OverheadWarmup   3: 2048 op, 3971.00 ns, 1.9390 ns/op
OverheadWarmup   4: 2048 op, 3865.00 ns, 1.8872 ns/op
OverheadWarmup   5: 2048 op, 4001.00 ns, 1.9536 ns/op
OverheadWarmup   6: 2048 op, 4159.00 ns, 2.0308 ns/op
OverheadWarmup   7: 2048 op, 4222.00 ns, 2.0615 ns/op
OverheadWarmup   8: 2048 op, 4269.00 ns, 2.0845 ns/op
OverheadWarmup   9: 2048 op, 5865.00 ns, 2.8638 ns/op
OverheadWarmup  10: 2048 op, 3963.00 ns, 1.9351 ns/op

OverheadActual   1: 2048 op, 4175.00 ns, 2.0386 ns/op
OverheadActual   2: 2048 op, 4662.00 ns, 2.2764 ns/op
OverheadActual   3: 2048 op, 4378.00 ns, 2.1377 ns/op
OverheadActual   4: 2048 op, 4602.00 ns, 2.2471 ns/op
OverheadActual   5: 2048 op, 4839.00 ns, 2.3628 ns/op
OverheadActual   6: 2048 op, 4617.00 ns, 2.2544 ns/op
OverheadActual   7: 2048 op, 4914.00 ns, 2.3994 ns/op
OverheadActual   8: 2048 op, 4763.00 ns, 2.3257 ns/op
OverheadActual   9: 2048 op, 4504.00 ns, 2.1992 ns/op
OverheadActual  10: 2048 op, 4595.00 ns, 2.2437 ns/op
OverheadActual  11: 2048 op, 4947.00 ns, 2.4155 ns/op
OverheadActual  12: 2048 op, 4637.00 ns, 2.2642 ns/op
OverheadActual  13: 2048 op, 4425.00 ns, 2.1606 ns/op
OverheadActual  14: 2048 op, 4560.00 ns, 2.2266 ns/op
OverheadActual  15: 2048 op, 4596.00 ns, 2.2441 ns/op

WorkloadWarmup   1: 2048 op, 754967577.00 ns, 368.6365 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 753137963.00 ns, 367.7431 us/op
WorkloadActual   2: 2048 op, 757961780.00 ns, 370.0985 us/op
WorkloadActual   3: 2048 op, 748055609.00 ns, 365.2615 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 753133361.00 ns, 367.7409 us/op
WorkloadResult   2: 2048 op, 757957178.00 ns, 370.0963 us/op
WorkloadResult   3: 2048 op, 748051007.00 ns, 365.2593 us/op

// AfterAll
// Benchmark Process 581551 has exited with code 0

Mean = 367.699 μs, StdErr = 1.396 μs (0.38%), N = 3, StdDev = 2.419 μs
Min = 365.259 μs, Q1 = 366.500 μs, Median = 367.741 μs, Q3 = 368.919 μs, Max = 370.096 μs
IQR = 2.418 μs, LowerFence = 362.872 μs, UpperFence = 372.546 μs
