// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c6e56315-3549-4710-8bf2-a03a7f4b5102
// command took 1.33s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c6e56315-3549-4710-8bf2-a03a7f4b5102
// command took 2.2s and exited with 0
// ***** Done, took 00:00:03 (3.64 sec)   *****
// Found 6 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.LinqJoin_LinkedList: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c6e56315-3549-4710-8bf2-a03a7f4b5102.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c6e56315-3549-4710-8bf2-a03a7f4b5102/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-XKODJV(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 274736.00 ns, 274.7360 us/op
WorkloadJitting  1: 1 op, 4338224.00 ns, 4.3382 ms/op

OverheadJitting  2: 16 op, 335576.00 ns, 20.9735 us/op
WorkloadJitting  2: 16 op, 372441.00 ns, 23.2776 us/op

WorkloadPilot    1: 16 op, 30361.00 ns, 1.8976 us/op
WorkloadPilot    2: 32 op, 48299.00 ns, 1.5093 us/op
WorkloadPilot    3: 64 op, 85489.00 ns, 1.3358 us/op
WorkloadPilot    4: 128 op, 155780.00 ns, 1.2170 us/op
WorkloadPilot    5: 256 op, 295399.00 ns, 1.1539 us/op
WorkloadPilot    6: 512 op, 572242.00 ns, 1.1177 us/op
WorkloadPilot    7: 1024 op, 1156020.00 ns, 1.1289 us/op
WorkloadPilot    8: 2048 op, 2615042.00 ns, 1.2769 us/op
WorkloadPilot    9: 4096 op, 6103201.00 ns, 1.4900 us/op
WorkloadPilot   10: 8192 op, 9541460.00 ns, 1.1647 us/op
WorkloadPilot   11: 16384 op, 19602520.00 ns, 1.1964 us/op
WorkloadPilot   12: 32768 op, 39534066.00 ns, 1.2065 us/op
WorkloadPilot   13: 65536 op, 67009377.00 ns, 1.0225 us/op
WorkloadPilot   14: 131072 op, 108803524.00 ns, 830.1050 ns/op
WorkloadPilot   15: 262144 op, 211841065.00 ns, 808.1095 ns/op
WorkloadPilot   16: 524288 op, 426061878.00 ns, 812.6485 ns/op
WorkloadPilot   17: 1048576 op, 836740605.00 ns, 797.9780 ns/op

OverheadWarmup   1: 1048576 op, 2452689.00 ns, 2.3391 ns/op
OverheadWarmup   2: 1048576 op, 2572545.00 ns, 2.4534 ns/op
OverheadWarmup   3: 1048576 op, 2011171.00 ns, 1.9180 ns/op
OverheadWarmup   4: 1048576 op, 1882695.00 ns, 1.7955 ns/op
OverheadWarmup   5: 1048576 op, 1951704.00 ns, 1.8613 ns/op
OverheadWarmup   6: 1048576 op, 2233779.00 ns, 2.1303 ns/op
OverheadWarmup   7: 1048576 op, 2118711.00 ns, 2.0206 ns/op

OverheadActual   1: 1048576 op, 2056692.00 ns, 1.9614 ns/op
OverheadActual   2: 1048576 op, 1977123.00 ns, 1.8855 ns/op
OverheadActual   3: 1048576 op, 1983350.00 ns, 1.8915 ns/op
OverheadActual   4: 1048576 op, 1911511.00 ns, 1.8230 ns/op
OverheadActual   5: 1048576 op, 1838794.00 ns, 1.7536 ns/op
