// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/9aef5331-0864-4def-a709-60859d924cc5
// command took 1.35s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/9aef5331-0864-4def-a709-60859d924cc5
// command took 2.17s and exited with 0
// ***** Done, took 00:00:03 (3.62 sec)   *****
// Found 2 benchmarks:
//   GetMostActiveVisistors.NestedLoop: Job-AAJBLA(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-AAJBLA(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-AAJBLA(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "9aef5331-0864-4def-a709-60859d924cc5.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/9aef5331-0864-4def-a709-60859d924cc5/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-OZJCYF(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 563870.00 ns, 563.8700 us/op
WorkloadJitting  1: 1 op, 687303.00 ns, 687.3030 us/op

OverheadJitting  2: 16 op, 350835.00 ns, 21.9272 us/op
WorkloadJitting  2: 16 op, 416070.00 ns, 26.0044 us/op

WorkloadPilot    1: 16 op, 2853.00 ns, 178.3125 ns/op
WorkloadPilot    2: 32 op, 3418.00 ns, 106.8125 ns/op
WorkloadPilot    3: 64 op, 4865.00 ns, 76.0156 ns/op
WorkloadPilot    4: 128 op, 7576.00 ns, 59.1875 ns/op
WorkloadPilot    5: 256 op, 13761.00 ns, 53.7539 ns/op
WorkloadPilot    6: 512 op, 26182.00 ns, 51.1367 ns/op
WorkloadPilot    7: 1024 op, 49451.00 ns, 48.2920 ns/op
WorkloadPilot    8: 2048 op, 118536.00 ns, 57.8789 ns/op
WorkloadPilot    9: 4096 op, 201152.00 ns, 49.1094 ns/op
WorkloadPilot   10: 8192 op, 402274.00 ns, 49.1057 ns/op
WorkloadPilot   11: 16384 op, 815204.00 ns, 49.7561 ns/op
WorkloadPilot   12: 32768 op, 1675856.00 ns, 51.1431 ns/op
WorkloadPilot   13: 65536 op, 3368892.00 ns, 51.4052 ns/op
WorkloadPilot   14: 131072 op, 6701424.00 ns, 51.1278 ns/op
WorkloadPilot   15: 262144 op, 12941692.00 ns, 49.3686 ns/op
WorkloadPilot   16: 524288 op, 27767487.00 ns, 52.9623 ns/op
WorkloadPilot   17: 1048576 op, 52528779.00 ns, 50.0953 ns/op
WorkloadPilot   18: 2097152 op, 104690636.00 ns, 49.9204 ns/op
WorkloadPilot   19: 4194304 op, 214132243.00 ns, 51.0531 ns/op
WorkloadPilot   20: 8388608 op, 414718677.00 ns, 49.4383 ns/op
WorkloadPilot   21: 16777216 op, 824805878.00 ns, 49.1623 ns/op

OverheadWarmup   1: 16777216 op, 30996174.00 ns, 1.8475 ns/op
OverheadWarmup   2: 16777216 op, 30807603.00 ns, 1.8363 ns/op
OverheadWarmup   3: 16777216 op, 32033547.00 ns, 1.9093 ns/op
OverheadWarmup   4: 16777216 op, 31695327.00 ns, 1.8892 ns/op
OverheadWarmup   5: 16777216 op, 32060331.00 ns, 1.9109 ns/op
OverheadWarmup   6: 16777216 op, 31583760.00 ns, 1.8825 ns/op

OverheadActual   1: 16777216 op, 30897275.00 ns, 1.8416 ns/op
OverheadActual   2: 16777216 op, 30842144.00 ns, 1.8383 ns/op
OverheadActual   3: 16777216 op, 31193595.00 ns, 1.8593 ns/op
OverheadActual   4: 16777216 op, 31080315.00 ns, 1.8525 ns/op
OverheadActual   5: 16777216 op, 31742273.00 ns, 1.8920 ns/op
OverheadActual   6: 16777216 op, 31066546.00 ns, 1.8517 ns/op
OverheadActual   7: 16777216 op, 31364217.00 ns, 1.8695 ns/op
OverheadActual   8: 16777216 op, 31129487.00 ns, 1.8555 ns/op
OverheadActual   9: 16777216 op, 31239433.00 ns, 1.8620 ns/op
OverheadActual  10: 16777216 op, 30800515.00 ns, 1.8359 ns/op
OverheadActual  11: 16777216 op, 31115228.00 ns, 1.8546 ns/op
OverheadActual  12: 16777216 op, 31248422.00 ns, 1.8626 ns/op
