// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/7d358fc1-1c09-4b89-960f-740b65980e7f
// command took 1.34s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/7d358fc1-1c09-4b89-960f-740b65980e7f
// command took 2.24s and exited with 0
// ***** Done, took 00:00:03 (3.68 sec)   *****
// Found 2 benchmarks:
//   GetMostActiveVisistors.NestedLoop: Job-IJLHXU(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-IJLHXU(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-IJLHXU(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "7d358fc1-1c09-4b89-960f-740b65980e7f.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/7d358fc1-1c09-4b89-960f-740b65980e7f/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-BLEOOU(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 309513.00 ns, 309.5130 us/op
WorkloadJitting  1: 1 op, 723060.00 ns, 723.0600 us/op

OverheadJitting  2: 16 op, 243762.00 ns, 15.2351 us/op
WorkloadJitting  2: 16 op, 413992.00 ns, 25.8745 us/op

WorkloadPilot    1: 16 op, 194124.00 ns, 12.1327 us/op
WorkloadPilot    2: 32 op, 274690.00 ns, 8.5841 us/op
WorkloadPilot    3: 64 op, 518303.00 ns, 8.0985 us/op
WorkloadPilot    4: 128 op, 1219400.00 ns, 9.5266 us/op
WorkloadPilot    5: 256 op, 2558331.00 ns, 9.9935 us/op
WorkloadPilot    6: 512 op, 4384598.00 ns, 8.5637 us/op
WorkloadPilot    7: 1024 op, 9287959.00 ns, 9.0703 us/op
WorkloadPilot    8: 2048 op, 17892904.00 ns, 8.7368 us/op
WorkloadPilot    9: 4096 op, 34847530.00 ns, 8.5077 us/op
WorkloadPilot   10: 8192 op, 68293371.00 ns, 8.3366 us/op
WorkloadPilot   11: 16384 op, 138038963.00 ns, 8.4252 us/op
WorkloadPilot   12: 32768 op, 267585875.00 ns, 8.1661 us/op
WorkloadPilot   13: 65536 op, 537971366.00 ns, 8.2088 us/op

OverheadWarmup   1: 65536 op, 142093.00 ns, 2.1682 ns/op
OverheadWarmup   2: 65536 op, 136929.00 ns, 2.0894 ns/op
OverheadWarmup   3: 65536 op, 150663.00 ns, 2.2989 ns/op
OverheadWarmup   4: 65536 op, 107897.00 ns, 1.6464 ns/op
OverheadWarmup   5: 65536 op, 152292.00 ns, 2.3238 ns/op
OverheadWarmup   6: 65536 op, 109361.00 ns, 1.6687 ns/op

OverheadActual   1: 65536 op, 126803.00 ns, 1.9349 ns/op
OverheadActual   2: 65536 op, 117315.00 ns, 1.7901 ns/op
OverheadActual   3: 65536 op, 161716.00 ns, 2.4676 ns/op
OverheadActual   4: 65536 op, 109306.00 ns, 1.6679 ns/op
OverheadActual   5: 65536 op, 109445.00 ns, 1.6700 ns/op
OverheadActual   6: 65536 op, 108112.00 ns, 1.6497 ns/op
OverheadActual   7: 65536 op, 137852.00 ns, 2.1035 ns/op
OverheadActual   8: 65536 op, 159084.00 ns, 2.4274 ns/op
OverheadActual   9: 65536 op, 114733.00 ns, 1.7507 ns/op
OverheadActual  10: 65536 op, 120361.00 ns, 1.8366 ns/op
OverheadActual  11: 65536 op, 119220.00 ns, 1.8192 ns/op
