// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/db10a0a6-d100-4fbf-97e0-6300492a8722
// command took 1.4s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/db10a0a6-d100-4fbf-97e0-6300492a8722
// command took 2.2s and exited with 0
// ***** Done, took 00:00:03 (3.7 sec)   *****
// Found 2 benchmarks:
//   GetMostActiveVisistors.NestedLoop: Job-KELTYE(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-KELTYE(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-KELTYE(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "db10a0a6-d100-4fbf-97e0-6300492a8722.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/db10a0a6-d100-4fbf-97e0-6300492a8722/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-MMDFNT(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 371665.00 ns, 371.6650 us/op
WorkloadJitting  1: 1 op, 1230601.00 ns, 1.2306 ms/op

OverheadJitting  2: 16 op, 335496.00 ns, 20.9685 us/op
WorkloadJitting  2: 16 op, 4616740.00 ns, 288.5462 us/op

WorkloadPilot    1: 16 op, 4016751.00 ns, 251.0469 us/op
WorkloadPilot    2: 32 op, 7572955.00 ns, 236.6548 us/op
WorkloadPilot    3: 64 op, 16845759.00 ns, 263.2150 us/op
WorkloadPilot    4: 128 op, 28802126.00 ns, 225.0166 us/op
WorkloadPilot    5: 256 op, 59696777.00 ns, 233.1905 us/op
WorkloadPilot    6: 512 op, 115638311.00 ns, 225.8561 us/op
WorkloadPilot    7: 1024 op, 209592961.00 ns, 204.6806 us/op
WorkloadPilot    8: 2048 op, 395374212.00 ns, 193.0538 us/op
WorkloadPilot    9: 4096 op, 791596635.00 ns, 193.2609 us/op

OverheadWarmup   1: 4096 op, 12804.00 ns, 3.1260 ns/op
OverheadWarmup   2: 4096 op, 7068.00 ns, 1.7256 ns/op
OverheadWarmup   3: 4096 op, 7092.00 ns, 1.7314 ns/op
OverheadWarmup   4: 4096 op, 7644.00 ns, 1.8662 ns/op
OverheadWarmup   5: 4096 op, 7612.00 ns, 1.8584 ns/op
OverheadWarmup   6: 4096 op, 7518.00 ns, 1.8354 ns/op
OverheadWarmup   7: 4096 op, 7853.00 ns, 1.9172 ns/op
OverheadWarmup   8: 4096 op, 8169.00 ns, 1.9944 ns/op
OverheadWarmup   9: 4096 op, 7812.00 ns, 1.9072 ns/op

OverheadActual   1: 4096 op, 8015.00 ns, 1.9568 ns/op
OverheadActual   2: 4096 op, 8185.00 ns, 1.9983 ns/op
OverheadActual   3: 4096 op, 8292.00 ns, 2.0244 ns/op
OverheadActual   4: 4096 op, 8464.00 ns, 2.0664 ns/op
OverheadActual   5: 4096 op, 8592.00 ns, 2.0977 ns/op
