// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/eb27e5f4-dd4c-45e2-a582-c1c7461ce1ba
// command took 1.35s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/eb27e5f4-dd4c-45e2-a582-c1c7461ce1ba
// command took 2.27s and exited with 0
// ***** Done, took 00:00:03 (3.72 sec)   *****
// Found 2 benchmarks:
//   GetMostActiveVisistors.NestedLoop: Job-ZJLJXM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-ZJLJXM(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-ZJLJXM(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "eb27e5f4-dd4c-45e2-a582-c1c7461ce1ba.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/eb27e5f4-dd4c-45e2-a582-c1c7461ce1ba/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-GETTOF(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 294384.00 ns, 294.3840 us/op
WorkloadJitting  1: 1 op, 2480691.00 ns, 2.4807 ms/op

OverheadJitting  2: 16 op, 311651.00 ns, 19.4782 us/op
WorkloadJitting  2: 16 op, 26506696.00 ns, 1.6567 ms/op

WorkloadPilot    1: 16 op, 24616027.00 ns, 1.5385 ms/op
WorkloadPilot    2: 32 op, 46900348.00 ns, 1.4656 ms/op
WorkloadPilot    3: 64 op, 94641888.00 ns, 1.4788 ms/op
WorkloadPilot    4: 128 op, 193917001.00 ns, 1.5150 ms/op
WorkloadPilot    5: 256 op, 383464398.00 ns, 1.4979 ms/op
WorkloadPilot    6: 512 op, 751640004.00 ns, 1.4680 ms/op

OverheadWarmup   1: 512 op, 20039.00 ns, 39.1387 ns/op
OverheadWarmup   2: 512 op, 1338.00 ns, 2.6133 ns/op
OverheadWarmup   3: 512 op, 1811.00 ns, 3.5371 ns/op
OverheadWarmup   4: 512 op, 1398.00 ns, 2.7305 ns/op
OverheadWarmup   5: 512 op, 1443.00 ns, 2.8184 ns/op
OverheadWarmup   6: 512 op, 1995.00 ns, 3.8965 ns/op
OverheadWarmup   7: 512 op, 1523.00 ns, 2.9746 ns/op

OverheadActual   1: 512 op, 1884.00 ns, 3.6797 ns/op
OverheadActual   2: 512 op, 1698.00 ns, 3.3164 ns/op
OverheadActual   3: 512 op, 1806.00 ns, 3.5273 ns/op
OverheadActual   4: 512 op, 1723.00 ns, 3.3652 ns/op
OverheadActual   5: 512 op, 1954.00 ns, 3.8164 ns/op
OverheadActual   6: 512 op, 1785.00 ns, 3.4863 ns/op
OverheadActual   7: 512 op, 1680.00 ns, 3.2812 ns/op
OverheadActual   8: 512 op, 1883.00 ns, 3.6777 ns/op
OverheadActual   9: 512 op, 1725.00 ns, 3.3691 ns/op
OverheadActual  10: 512 op, 1510.00 ns, 2.9492 ns/op
OverheadActual  11: 512 op, 1686.00 ns, 3.2930 ns/op
OverheadActual  12: 512 op, 1625.00 ns, 3.1738 ns/op
OverheadActual  13: 512 op, 1534.00 ns, 2.9961 ns/op
OverheadActual  14: 512 op, 1510.00 ns, 2.9492 ns/op
OverheadActual  15: 512 op, 1502.00 ns, 2.9336 ns/op
OverheadActual  16: 512 op, 1442.00 ns, 2.8164 ns/op
OverheadActual  17: 512 op, 1496.00 ns, 2.9219 ns/op
OverheadActual  18: 512 op, 1956.00 ns, 3.8203 ns/op
OverheadActual  19: 512 op, 2819.00 ns, 5.5059 ns/op
OverheadActual  20: 512 op, 1865.00 ns, 3.6426 ns/op

WorkloadWarmup   1: 512 op, 774312348.00 ns, 1.5123 ms/op

// BeforeActualRun
WorkloadActual   1: 512 op, 744076778.00 ns, 1.4533 ms/op
WorkloadActual   2: 512 op, 759533053.00 ns, 1.4835 ms/op
WorkloadActual   3: 512 op, 777526618.00 ns, 1.5186 ms/op

// AfterActualRun
WorkloadResult   1: 512 op, 744075067.50 ns, 1.4533 ms/op
WorkloadResult   2: 512 op, 759531342.50 ns, 1.4835 ms/op
WorkloadResult   3: 512 op, 777524907.50 ns, 1.5186 ms/op

// AfterAll
// Benchmark Process 595666 has exited with code 0

Mean = 1.485 ms, StdErr = 0.019 ms (1.27%), N = 3, StdDev = 0.033 ms
Min = 1.453 ms, Q1 = 1.468 ms, Median = 1.483 ms, Q3 = 1.501 ms, Max = 1.519 ms
IQR = 0.033 ms, LowerFence = 1.419 ms, UpperFence = 1.550 ms
ConfidenceInterval = [0.889 ms; 2.082 ms] (CI 99.9%), Margin = 0.597 ms (40.17% of Mean)
Skewness = 0.05, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop_LinkedList: Job-ZJLJXM(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "eb27e5f4-dd4c-45e2-a582-c1c7461ce1ba.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop_LinkedList" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/eb27e5f4-dd4c-45e2-a582-c1c7461ce1ba/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-KDKLPE(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 289751.00 ns, 289.7510 us/op
WorkloadJitting  1: 1 op, 6280244.00 ns, 6.2802 ms/op

OverheadJitting  2: 16 op, 312492.00 ns, 19.5308 us/op
WorkloadJitting  2: 16 op, 91219155.00 ns, 5.7012 ms/op

WorkloadPilot    1: 16 op, 91322698.00 ns, 5.7077 ms/op
WorkloadPilot    2: 32 op, 168667381.00 ns, 5.2709 ms/op
WorkloadPilot    3: 64 op, 374437515.00 ns, 5.8506 ms/op
WorkloadPilot    4: 128 op, 746578343.00 ns, 5.8326 ms/op

OverheadWarmup   1: 128 op, 4428.00 ns, 34.5938 ns/op
OverheadWarmup   2: 128 op, 616.00 ns, 4.8125 ns/op
OverheadWarmup   3: 128 op, 808.00 ns, 6.3125 ns/op
OverheadWarmup   4: 128 op, 653.00 ns, 5.1016 ns/op
OverheadWarmup   5: 128 op, 629.00 ns, 4.9141 ns/op
OverheadWarmup   6: 128 op, 540.00 ns, 4.2188 ns/op
OverheadWarmup   7: 128 op, 828.00 ns, 6.4688 ns/op
OverheadWarmup   8: 128 op, 828.00 ns, 6.4688 ns/op

OverheadActual   1: 128 op, 1069.00 ns, 8.3516 ns/op
OverheadActual   2: 128 op, 607.00 ns, 4.7422 ns/op
OverheadActual   3: 128 op, 780.00 ns, 6.0938 ns/op
OverheadActual   4: 128 op, 855.00 ns, 6.6797 ns/op
OverheadActual   5: 128 op, 1045.00 ns, 8.1641 ns/op
OverheadActual   6: 128 op, 1007.00 ns, 7.8672 ns/op
OverheadActual   7: 128 op, 747.00 ns, 5.8359 ns/op
OverheadActual   8: 128 op, 607.00 ns, 4.7422 ns/op
OverheadActual   9: 128 op, 844.00 ns, 6.5938 ns/op
OverheadActual  10: 128 op, 906.00 ns, 7.0781 ns/op
OverheadActual  11: 128 op, 941.00 ns, 7.3516 ns/op
OverheadActual  12: 128 op, 736.00 ns, 5.7500 ns/op
OverheadActual  13: 128 op, 625.00 ns, 4.8828 ns/op
OverheadActual  14: 128 op, 644.00 ns, 5.0312 ns/op
OverheadActual  15: 128 op, 649.00 ns, 5.0703 ns/op
OverheadActual  16: 128 op, 760.00 ns, 5.9375 ns/op
OverheadActual  17: 128 op, 665.00 ns, 5.1953 ns/op
OverheadActual  18: 128 op, 927.00 ns, 7.2422 ns/op
OverheadActual  19: 128 op, 841.00 ns, 6.5703 ns/op
OverheadActual  20: 128 op, 705.00 ns, 5.5078 ns/op

WorkloadWarmup   1: 128 op, 745005344.00 ns, 5.8204 ms/op

// BeforeActualRun
WorkloadActual   1: 128 op, 742750857.00 ns, 5.8027 ms/op
WorkloadActual   2: 128 op, 735257161.00 ns, 5.7442 ms/op
WorkloadActual   3: 128 op, 730163357.00 ns, 5.7044 ms/op

// AfterActualRun
WorkloadResult   1: 128 op, 742750087.00 ns, 5.8027 ms/op
WorkloadResult   2: 128 op, 735256391.00 ns, 5.7442 ms/op
WorkloadResult   3: 128 op, 730162587.00 ns, 5.7044 ms/op

// AfterAll
// Benchmark Process 595688 has exited with code 0

Mean = 5.750 ms, StdErr = 0.029 ms (0.50%), N = 3, StdDev = 0.049 ms
Min = 5.704 ms, Q1 = 5.724 ms, Median = 5.744 ms, Q3 = 5.773 ms, Max = 5.803 ms
IQR = 0.049 ms, LowerFence = 5.651 ms, UpperFence = 5.847 ms
ConfidenceInterval = [4.848 ms; 6.653 ms] (CI 99.9%), Margin = 0.902 ms (15.69% of Mean)
Skewness = 0.12, Kurtosis = 0.67, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.NestedLoop: Job-ZJLJXM(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 1.485 ms, StdErr = 0.019 ms (1.27%), N = 3, StdDev = 0.033 ms
Min = 1.453 ms, Q1 = 1.468 ms, Median = 1.483 ms, Q3 = 1.501 ms, Max = 1.519 ms
IQR = 0.033 ms, LowerFence = 1.419 ms, UpperFence = 1.550 ms
ConfidenceInterval = [0.889 ms; 2.082 ms] (CI 99.9%), Margin = 0.597 ms (40.17% of Mean)
Skewness = 0.05, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[1.439 ms ; 1.498 ms) | @@
[1.498 ms ; 1.548 ms) | @
---------------------------------------------------

GetMostActiveVisistors.NestedLoop_LinkedList: Job-ZJLJXM(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 5.750 ms, StdErr = 0.029 ms (0.50%), N = 3, StdDev = 0.049 ms
Min = 5.704 ms, Q1 = 5.724 ms, Median = 5.744 ms, Q3 = 5.773 ms, Max = 5.803 ms
IQR = 0.049 ms, LowerFence = 5.651 ms, UpperFence = 5.847 ms
ConfidenceInterval = [4.848 ms; 6.653 ms] (CI 99.9%), Margin = 0.902 ms (15.69% of Mean)
Skewness = 0.12, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[5.659 ms ; 5.848 ms) | @@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-ZJLJXM : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|                Method |     Mean |     Error |    StdDev |
|---------------------- |---------:|----------:|----------:|
|            NestedLoop | 1.485 ms | 0.5965 ms | 0.0327 ms |
| NestedLoop_LinkedList | 5.750 ms | 0.9025 ms | 0.0495 ms |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ms   : 1 Millisecond (0.001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:10 (10.68 sec), executed benchmarks: 2

Global total time: 00:00:14 (14.41 sec), executed benchmarks: 2
// * Artifacts cleanup *
